timestamp,raw,dec_val,tail,dt_s
2026-03-13 15:51:58.623,J33J40,3,40,1.000
2026-03-13 15:51:59.623,J35J40,5,40,1.000
2026-03-13 15:52:00.624,J33J40,3,40,1.000
2026-03-13 15:52:01.624,J37J40,7,40,1.000
2026-03-13 15:52:02.624,J33J40,3,40,1.000
2026-03-13 15:52:03.625,J31J40,1,40,1.001
2026-03-13 15:52:04.625,J36J40,6,40,1.000
2026-03-13 15:52:05.625,J31J40,1,40,1.000
2026-03-13 15:52:06.625,J34J40,4,40,1.000
2026-03-13 15:52:07.626,J36J40,6,40,1.000
2026-03-13 15:52:08.626,J35J40,5,40,1.000
2026-03-13 15:52:09.626,J37J40,7,40,1.000
2026-03-13 15:52:10.626,J35J40,5,40,1.000
2026-03-13 15:52:11.627,J36J40,6,40,1.000
2026-03-13 15:52:12.627,J34J40,4,40,1.000
2026-03-13 15:52:13.628,J35J40,5,40,1.001
2026-03-13 15:52:14.628,J32J40,2,40,1.000
2026-03-13 15:52:15.628,J35J40,5,40,1.000
2026-03-13 15:52:16.628,J35J40,5,40,1.000
2026-03-13 15:52:17.628,J35J40,5,40,1.000
2026-03-13 15:52:18.628,J37J40,7,40,1.000
2026-03-13 15:52:19.629,J35J40,5,40,1.000
2026-03-13 15:52:20.629,J34J40,4,40,1.000
2026-03-13 15:52:21.629,J37J40,7,40,1.000
2026-03-13 15:52:22.630,J34J40,4,40,1.001
2026-03-13 15:52:23.631,J34J40,4,40,1.000
2026-03-13 15:52:24.630,J34J40,4,40,0.999
2026-03-13 15:52:25.630,J35J40,5,40,1.000
2026-03-13 15:52:26.631,J33J40,3,40,1.001
2026-03-13 15:52:27.633,J310J40,16,40,1.002
2026-03-13 15:52:28.631,J35J40,5,40,0.999
2026-03-13 15:52:29.631,J31J40,1,40,1.000
2026-03-13 15:52:30.632,J35J40,5,40,1.001
2026-03-13 15:52:31.632,J34J40,4,40,1.000
2026-03-13 15:52:32.632,J37J40,7,40,1.000
2026-03-13 15:52:33.632,J33J40,3,40,1.000
2026-03-13 15:52:34.632,J38J40,8,40,1.000
2026-03-13 15:52:35.633,J34J40,4,40,1.000
2026-03-13 15:52:36.633,J37J40,7,40,1.000
2026-03-13 15:52:37.633,J34J40,4,40,1.000
2026-03-13 15:52:38.634,J33J40,3,40,1.000
2026-03-13 15:52:39.635,J36J40,6,40,1.001
2026-03-13 15:52:40.634,J33J40,3,40,1.000
2026-03-13 15:52:41.636,J34J40,4,40,1.001
2026-03-13 15:52:42.634,J34J40,4,40,0.999
2026-03-13 15:52:43.635,J35J40,5,40,1.001
2026-03-13 15:52:44.635,J34J40,4,40,1.000
2026-03-13 15:52:45.636,J35J40,5,40,1.001
2026-03-13 15:52:46.637,J33J40,3,40,1.001
2026-03-13 15:52:47.637,J36J40,6,40,1.000
