timestamp,raw,dec_val,tail,dt_s
2026-03-16 13:03:00.032,J35J40,5,40,1.000
2026-03-16 13:03:01.033,J33J40,3,40,1.001
2026-03-16 13:03:02.033,J32J40,2,40,1.000
2026-03-16 13:03:03.033,J32J40,2,40,1.000
2026-03-16 13:03:04.035,J33J40,3,40,1.001
2026-03-16 13:03:05.034,J36J40,6,40,0.999
2026-03-16 13:03:06.035,J36J40,6,40,1.001
2026-03-16 13:03:07.034,J33J40,3,40,1.000
2026-03-16 13:03:08.035,J36J40,6,40,1.000
2026-03-16 13:03:09.035,J35J40,5,40,1.000
2026-03-16 13:03:10.036,J39J40,9,40,1.001
2026-03-16 13:03:11.036,J37J40,7,40,1.000
2026-03-16 13:03:12.036,J33J40,3,40,1.000
2026-03-16 13:03:13.037,J32J40,2,40,1.001
2026-03-16 13:03:14.036,J34J40,4,40,0.999
2026-03-16 13:03:15.036,J31J40,1,40,1.000
2026-03-16 13:03:16.037,J33J40,3,40,1.000
2026-03-16 13:03:17.037,J32J40,2,40,1.000
2026-03-16 13:03:18.037,J34J40,4,40,1.000
2026-03-16 13:03:19.038,J34J40,4,40,1.001
2026-03-16 13:03:20.038,J36J40,6,40,0.999
2026-03-16 13:03:21.039,J37J40,7,40,1.001
2026-03-16 13:03:22.039,J32J40,2,40,1.001
2026-03-16 13:03:23.039,J35J40,5,40,0.999
2026-03-16 13:03:24.039,J37J40,7,40,1.000
2026-03-16 13:03:25.039,J36J40,6,40,1.000
2026-03-16 13:03:26.040,J34J40,4,40,1.001
2026-03-16 13:03:27.040,J37J40,7,40,1.001
2026-03-16 13:03:28.040,J33J40,3,40,1.000
2026-03-16 13:03:29.041,J32J40,2,40,1.001
2026-03-16 13:03:30.041,J37J40,7,40,1.000
2026-03-16 13:03:31.041,J34J40,4,40,1.000
2026-03-16 13:03:32.041,J35J40,5,40,1.000
2026-03-16 13:03:33.041,J32J40,2,40,1.000
2026-03-16 13:03:34.041,J32J40,2,40,1.000
2026-03-16 13:03:35.042,J33J40,3,40,1.000
2026-03-16 13:03:36.042,J34J40,4,40,1.000
2026-03-16 13:03:37.042,J37J40,7,40,1.000
2026-03-16 13:03:38.043,J35J40,5,40,1.001
2026-03-16 13:03:39.045,J38J40,8,40,1.002
2026-03-16 13:03:40.043,J33J40,3,40,0.998
2026-03-16 13:03:41.043,J33J40,3,40,1.000
2026-03-16 13:03:42.044,J37J40,7,40,1.001
2026-03-16 13:03:43.044,J34J40,4,40,1.000
2026-03-16 13:03:44.044,J37J40,7,40,1.000
2026-03-16 13:03:45.044,J33J40,3,40,1.000
2026-03-16 13:03:46.044,J36J40,6,40,1.000
2026-03-16 13:03:47.044,J35J40,5,40,1.000
2026-03-16 13:03:48.045,J35J40,5,40,1.000
2026-03-16 13:03:49.045,J37J40,7,40,1.000
2026-03-16 13:03:50.046,J35J40,5,40,1.001
2026-03-16 13:03:51.046,J34J40,4,40,1.000
2026-03-16 13:03:52.046,J37J40,7,40,1.001
2026-03-16 13:03:53.047,J36J40,6,40,1.001
2026-03-16 13:03:54.048,J33J40,3,40,1.000
2026-03-16 13:03:55.047,J33J40,3,40,0.999
2026-03-16 13:03:56.047,J36J40,6,40,1.000
2026-03-16 13:03:57.048,J36J40,6,40,1.001
2026-03-16 13:03:58.048,J32J40,2,40,1.000
2026-03-16 13:03:59.048,J37J40,7,40,1.000
2026-03-16 13:04:00.048,J38J40,8,40,1.000
2026-03-16 13:04:01.049,J33J40,3,40,1.000
2026-03-16 13:04:02.049,J33J40,3,40,1.000
2026-03-16 13:04:03.049,J33J40,3,40,1.000
2026-03-16 13:04:04.050,J34J40,4,40,1.000
2026-03-16 13:04:05.050,J34J40,4,40,1.000
2026-03-16 13:04:06.050,J33J40,3,40,1.000
2026-03-16 13:04:07.050,J37J40,7,40,1.000
2026-03-16 13:04:08.051,J32J40,2,40,1.001
2026-03-16 13:04:09.051,J36J40,6,40,1.000
2026-03-16 13:04:10.051,J33J40,3,40,1.000
2026-03-16 13:04:11.051,J37J40,7,40,1.000
2026-03-16 13:04:12.052,J33J40,3,40,1.001
2026-03-16 13:04:13.053,J37J40,7,40,1.000
2026-03-16 13:04:14.052,J31J40,1,40,1.000
2026-03-16 13:04:15.053,J31J40,1,40,1.000
2026-03-16 13:04:16.053,J35J40,5,40,1.000
2026-03-16 13:04:17.053,J35J40,5,40,1.000
2026-03-16 13:04:18.054,J33J40,3,40,1.001
2026-03-16 13:04:19.053,J36J40,6,40,0.999
2026-03-16 13:04:20.054,J31J40,1,40,1.000
2026-03-16 13:04:21.054,J33J40,3,40,1.000
2026-03-16 13:04:22.055,J35J40,5,40,1.001
2026-03-16 13:04:23.054,J35J40,5,40,1.000
2026-03-16 13:04:24.055,J33J40,3,40,1.001
2026-03-16 13:04:25.056,J33J40,3,40,1.000
2026-03-16 13:04:26.055,J37J40,7,40,1.000
2026-03-16 13:04:27.056,J32J40,2,40,1.001
2026-03-16 13:04:28.056,J34J40,4,40,1.000
2026-03-16 13:04:29.056,J32J40,2,40,1.000
2026-03-16 13:04:30.057,J33J40,3,40,1.001
2026-03-16 13:04:31.057,J34J40,4,40,1.000
2026-03-16 13:04:32.058,J32J40,2,40,1.001
2026-03-16 13:04:33.057,J37J40,7,40,0.999
2026-03-16 13:04:34.057,J35J40,5,40,1.000
2026-03-16 13:04:35.058,J34J40,4,40,1.001
2026-03-16 13:04:36.058,J34J40,4,40,1.000
2026-03-16 13:04:37.058,J33J40,3,40,1.000
2026-03-16 13:04:38.058,J37J40,7,40,1.000
2026-03-16 13:04:39.059,J36J40,6,40,1.000
2026-03-16 13:04:40.059,J37J40,7,40,1.000
2026-03-16 13:04:41.059,J33J40,3,40,1.000
2026-03-16 13:04:42.059,J36J40,6,40,1.000
2026-03-16 13:04:43.060,J34J40,4,40,1.000
2026-03-16 13:04:44.061,J36J40,6,40,1.001
2026-03-16 13:04:45.062,J35J40,5,40,1.001
2026-03-16 13:04:46.060,J34J40,4,40,0.998
2026-03-16 13:04:47.061,J36J40,6,40,1.001
2026-03-16 13:04:48.061,J33J40,3,40,1.000
2026-03-16 13:04:49.061,J36J40,6,40,1.001
2026-03-16 13:04:50.061,J37J40,7,40,1.000
2026-03-16 13:04:51.061,J34J40,4,40,1.000
2026-03-16 13:04:52.062,J36J40,6,40,1.000
2026-03-16 13:04:53.062,J33J40,3,40,1.000
2026-03-16 13:04:54.063,J37J40,7,40,1.000
2026-03-16 13:04:55.063,J31J40,1,40,1.000
2026-03-16 13:04:56.063,J33J40,3,40,1.000
2026-03-16 13:04:57.063,J36J40,6,40,1.000
2026-03-16 13:04:58.064,J34J40,4,40,1.000
2026-03-16 13:04:59.065,J37J40,7,40,1.002
2026-03-16 13:05:00.064,J34J40,4,40,0.999
2026-03-16 13:05:01.064,J34J40,4,40,1.000
2026-03-16 13:05:02.065,J37J40,7,40,1.001
2026-03-16 13:05:03.065,J34J40,4,40,1.000
2026-03-16 13:05:04.065,J34J40,4,40,1.000
2026-03-16 13:05:05.065,J34J40,4,40,1.000
2026-03-16 13:05:06.065,J36J40,6,40,1.000
2026-03-16 13:05:07.066,J34J40,4,40,1.000
2026-03-16 13:05:08.066,J34J40,4,40,1.000
2026-03-16 13:05:09.067,J36J40,6,40,1.000
2026-03-16 13:05:10.067,J35J40,5,40,1.000
2026-03-16 13:05:11.068,J33J40,3,40,1.001
2026-03-16 13:05:12.067,J33J40,3,40,1.000
2026-03-16 13:05:13.067,J34J40,4,40,1.000
2026-03-16 13:05:14.068,J32J40,2,40,1.000
2026-03-16 13:05:15.068,J37J40,7,40,1.000
2026-03-16 13:05:16.068,J38J40,8,40,1.000
2026-03-16 13:05:17.070,J31J40,1,40,1.002
2026-03-16 13:05:18.069,J35J40,5,40,1.000
2026-03-16 13:05:19.070,J35J40,5,40,1.001
2026-03-16 13:05:20.070,J31J40,1,40,1.000
2026-03-16 13:05:21.070,J30J40,0,40,1.000
2026-03-16 13:05:22.070,J34J40,4,40,1.000
2026-03-16 13:05:23.070,J32J40,2,40,1.000
2026-03-16 13:05:24.071,J36J40,6,40,1.001
2026-03-16 13:05:25.071,J36J40,6,40,1.000
2026-03-16 13:05:26.071,J34J40,4,40,1.000
2026-03-16 13:05:27.072,J31J40,1,40,1.001
2026-03-16 13:05:28.072,J36J40,6,40,0.999
2026-03-16 13:05:29.072,J31J40,1,40,1.001
2026-03-16 13:05:30.072,J35J40,5,40,1.000
2026-03-16 13:05:31.073,J35J40,5,40,1.001
2026-03-16 13:05:32.073,J34J40,4,40,1.000
2026-03-16 13:05:33.073,J36J40,6,40,1.000
2026-03-16 13:05:34.073,J35J40,5,40,1.000
2026-03-16 13:05:35.073,J33J40,3,40,1.000
2026-03-16 13:05:36.074,J32J40,2,40,1.001
2026-03-16 13:05:37.075,J33J40,3,40,1.001
2026-03-16 13:05:38.075,J34J40,4,40,1.000
2026-03-16 13:05:39.075,J34J40,4,40,1.000
2026-03-16 13:05:40.076,J35J40,5,40,1.000
2026-03-16 13:05:41.075,J33J40,3,40,0.999
2026-03-16 13:05:42.076,J35J40,5,40,1.001
2026-03-16 13:05:43.077,J36J40,6,40,1.001
2026-03-16 13:05:44.076,J39J40,9,40,0.999
2026-03-16 13:05:45.076,J34J40,4,40,1.000
2026-03-16 13:05:46.078,J34J40,4,40,1.002
2026-03-16 13:05:47.078,J33J40,3,40,1.000
2026-03-16 13:05:48.078,J33J40,3,40,1.000
2026-03-16 13:05:49.079,J37J40,7,40,1.001
2026-03-16 13:05:50.077,J33J40,3,40,0.998
2026-03-16 13:05:51.079,J37J40,7,40,1.001
2026-03-16 13:05:52.079,J33J40,3,40,1.000
2026-03-16 13:05:53.079,J35J40,5,40,1.000
2026-03-16 13:05:54.079,J34J40,4,40,1.001
2026-03-16 13:05:55.079,J33J40,3,40,0.999
2026-03-16 13:05:56.079,J39J40,9,40,1.000
2026-03-16 13:05:57.079,J33J40,3,40,1.000
2026-03-16 13:05:58.079,J36J40,6,40,1.000
2026-03-16 13:05:59.080,J39J40,9,40,1.000
2026-03-16 13:06:00.080,J32J40,2,40,1.000
2026-03-16 13:06:01.081,J39J40,9,40,1.001
2026-03-16 13:06:02.081,J36J40,6,40,1.000
