position,point_name,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,tally_name,detector_volume_cm3,neutron_dose_per_source [pSv/source],u_mc_neutron_dose_per_source [pSv/source],neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],rel_u_mc_neutron_dose_rate [%],neutron_dose_mc_uncertainty_class
P3,P3_x176_h45,176.0,45.0,229.25,0.0,4.0,neutron_dose_P3_x176_h45,8.0,7.036267559648384e-05,1.730054581611081e-05,2.7712747868336955,0.6813920308204562,24.587674742964655,high
P3,P3_x199_h45,199.0,45.0,252.25,0.0,4.0,neutron_dose_P3_x199_h45,8.0,5.273959548914112e-05,1.4358542148309487e-05,2.0771795558918256,0.5655195100808171,27.225355096373193,very high
P3,P3_x225_h45,225.0,45.0,278.25,0.0,4.0,neutron_dose_P3_x225_h45,8.0,5.108416677192291e-05,1.4692930067439647e-05,2.0119795357598944,0.5786895722117902,28.762199710606293,very high
P3,P3_x300_h45,300.0,45.0,353.25,0.0,4.0,neutron_dose_P3_x300_h45,8.0,2.705469781437928e-05,1.0169366243886195e-05,1.0655649644190148,0.4005263874753479,37.58817161314323,very high
P3,P3_x0_h85,0.0,85.0,53.25,0.0,44.0,neutron_dose_P3_x0_h85,8.0,0.0008615665852345994,5.3759636541658736e-05,33.933299644994804,2.117354464341706,6.239754124983888,moderate
P3,P3_x5_h85,5.0,85.0,58.25,0.0,44.0,neutron_dose_P3_x5_h85,8.0,0.0007025830131290431,5.278222740340598e-05,27.671639451406286,2.078858638560515,7.512596578208403,moderate
P3,P3_x57_h85,57.0,85.0,110.25,0.0,44.0,neutron_dose_P3_x57_h85,8.0,0.00023085570834568712,2.771114500506772e-05,9.09238596331897,1.0914195177460575,12.003664628284866,high
P3,P3_x100_h85,100.0,85.0,153.25,0.0,44.0,neutron_dose_P3_x100_h85,8.0,0.00011450747150728033,1.7860918769186353e-05,4.509943176578997,0.7034626445786316,15.59803786956449,high
P3,P3_x114_h85,114.0,85.0,167.25,0.0,44.0,neutron_dose_P3_x114_h85,8.0,0.0001308157601577348,2.1144595077137404e-05,5.1522545834475135,0.8327921404115423,16.163645000909455,high
P3,P3_x176_h85,176.0,85.0,229.25,0.0,44.0,neutron_dose_P3_x176_h85,8.0,5.9608487022315233e-05,1.3981754861917117e-05,2.3477148326988964,0.5506795242797251,23.45598011350776,high
P3,P3_x200_h85,200.0,85.0,253.25,0.0,44.0,neutron_dose_P3_x200_h85,8.0,4.222445682433575e-05,1.0592797782396613e-05,1.6630347210798382,0.4172034841985255,25.0868775564486,very high
P3,P3_x225_h85,225.0,85.0,278.25,0.0,44.0,neutron_dose_P3_x225_h85,8.0,3.578458475757873e-05,9.419033978663825e-06,1.409396624777398,0.3709741160369594,26.32148463499773,very high
P3,P3_x300_h85,300.0,85.0,353.25,0.0,44.0,neutron_dose_P3_x300_h85,8.0,4.8020049396491005e-05,1.3965680032166457e-05,1.8912974958225472,0.550046407787025,29.083018879999276,very high
P3,P3_x400_h85,400.0,85.0,453.25,0.0,44.0,neutron_dose_P3_x400_h85,8.0,5.1954225356120825e-06,3.438612087567756e-06,0.20462472977091914,0.13543173137171466,66.18541733608288,very high
P4,P4_x0_h42,0.0,42.0,50.10139789775538,41.10139789775538,1.0,neutron_dose_P4_x0_h42,8.0,0.0006996766749954567,4.5664345493541506e-05,27.557171638416754,1.7985167313597485,6.526492467944286,moderate
P4,P4_x20_h42,20.0,42.0,64.24353352148633,55.243533521486334,1.0,neutron_dose_P4_x20_h42,8.0,0.00044928737936672817,4.014337956229335e-05,17.695444010998063,1.5810702861452577,8.934900334586642,moderate
P4,P4_x71_h42,71.0,42.0,100.30597936200024,91.30597936200024,1.0,neutron_dose_P4_x71_h42,8.0,0.00015913268222305328,2.2485419234913375e-05,6.267532982046007,0.8856012775076274,14.129981925017761,high
P4,P4_x85_h45,85.0,45.0,110.20547429861192,101.20547429861192,4.0,neutron_dose_P4_x85_h45,8.0,0.00016014222169916464,2.5098886460084264e-05,6.307294279818494,0.9885341999119345,15.672872646436621,high
P4,P4_x152_h113,152.0,113.0,157.5816286381106,148.5816286381106,72.0,neutron_dose_P4_x152_h113,8.0,8.519582403118671e-05,1.8003370314987808e-05,3.355486940763043,0.7090731813281008,21.13175207789235,high
P5,P5_x0_h45,0.0,45.0,0.0,44.25,4.0,neutron_dose_P5_x0_h45,8.0,0.003288757543049969,0.00010976315889517317,129.52962322426177,4.323085672776985,3.3375266330329616,low
P5,P5_x6_h45,6.0,45.0,0.0,50.25,4.0,neutron_dose_P5_x6_h45,8.0,0.002617268317665541,0.0001008243892655516,103.08263063674077,3.9710270466675066,3.8522756182477074,low
