tally_name,mean_per_source,std_dev_per_source,relative_error,relative_error_percent,target_reached
gamma_dose_P2_x114_h85,6.630129480979495e-06,8.198379479007152e-07,0.12365338418392356,12.365338418392357,True
gamma_dose_P2_x156_h85,3.068367810681121e-06,5.010830683163497e-07,0.16330606342957252,16.330606342957253,True
gamma_dose_P2_x176_h85,2.9235366718841954e-06,4.850774411244634e-07,0.16592144910973014,16.592144910973015,True
gamma_dose_P2_x199_h85,3.2839985175526893e-06,6.705883810568628e-07,0.2041987465806168,20.41987465806168,True
gamma_dose_P2_x300_h85,1.9557193519227316e-06,4.825629765196491e-07,0.24674449125086667,24.674449125086667,True
gamma_dose_P2_x321_h85,1.399227232496002e-06,3.963954788182415e-07,0.2832960005439103,28.32960005439103,True
gamma_dose_P3_x0_h45,4.919662795910488e-05,2.6222712237822864e-06,0.053301848776344425,5.3301848776344425,True
gamma_dose_P3_x5_h45,4.36921524074966e-05,2.4685816885953155e-06,0.05649942959028409,5.649942959028409,True
gamma_dose_P3_x57_h45,1.1510408124075703e-05,1.3270917021832667e-06,0.11529493028205144,11.529493028205144,True
gamma_dose_P3_x114_h45,4.381643251965257e-06,7.830534422628182e-07,0.17871227693208538,17.87122769320854,True
gamma_dose_P3_x176_h45,1.8068445665296883e-06,5.41378084614967e-07,0.29962626262576836,29.962626262576837,True
gamma_dose_P3_x199_h45,1.509439520185169e-06,5.109656428148788e-07,0.33851349191665303,33.85134919166531,True
gamma_dose_P3_x225_h45,1.2015916795220546e-06,4.341255866369604e-07,0.3612921044939645,36.129210449396446,True
gamma_dose_P3_x300_h45,1.2155958676215729e-06,4.337429012347638e-07,0.3568150507811633,35.68150507811633,True
gamma_dose_P3_x0_h85,5.2656136421272565e-05,2.6886723539420948e-06,0.05106095009386023,5.106095009386023,True
gamma_dose_P3_x5_h85,3.651845270440422e-05,2.1005752882501796e-06,0.057520927988190605,5.752092798819061,True
gamma_dose_P3_x57_h85,7.074151440831989e-06,8.84632730036098e-07,0.12505142665309646,12.505142665309647,True
gamma_dose_P3_x100_h85,4.9631372471416104e-06,7.87848094040167e-07,0.15873993702146916,15.873993702146915,True
gamma_dose_P3_x114_h85,3.530833836607796e-06,6.429331907548039e-07,0.18209103585925013,18.209103585925014,True
gamma_dose_P3_x176_h85,2.9244647974664676e-06,6.134360142640382e-07,0.20976009517894426,20.976009517894425,True
gamma_dose_P3_x200_h85,1.9052506146165165e-06,4.940718663931022e-07,0.2593211951240061,25.932119512400607,True
gamma_dose_P3_x225_h85,1.0991641362148572e-06,3.44475968839041e-07,0.3133981154309652,31.33981154309652,True
gamma_dose_P3_x300_h85,1.7697481883256895e-06,5.258998622848044e-07,0.29716084229041867,29.71608422904187,True
gamma_dose_P3_x400_h85,5.722037964859432e-07,2.856297124794798e-07,0.49917479442395934,49.91747944239594,True
gamma_dose_P4_x0_h42,9.961490898328999e-06,1.1418058035179776e-06,0.11462197929724667,11.462197929724667,True
gamma_dose_P4_x20_h42,7.219605109490652e-06,9.658551079946704e-07,0.13378226278955194,13.378226278955193,True
gamma_dose_P4_x71_h42,3.833183274933829e-06,7.337313326156918e-07,0.19141566682025085,19.141566682025086,True
gamma_dose_P4_x85_h45,1.9970856927339596e-06,4.406855272701663e-07,0.22066430542941748,22.06643054294175,True
gamma_dose_P4_x152_h113,1.710988969980384e-06,3.4739487458879345e-07,0.20303747171016318,20.30374717101632,True
