point_name,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_neutron_flux [n/cm2/s],u_mc_common_neutron_flux [n/cm2/s],rel_u_mc_common_neutron_flux [%]
P2_x114_h55,130.7115709530218,-121.7115709530218,14.0,8.0,7.493589939053439,0.9014849039202935,12.030080525518661
P2_x176_h55,174.55219138658774,-165.55219138658774,14.0,8.0,3.1376942694253924,0.6061247055257604,19.3175196013205
P2_x199_h55,190.81564735387835,-181.81564735387835,14.0,8.0,3.8019923319824716,0.7393601479698149,19.44665016155597
P2_x321_h55,277.0826746586372,-268.0826746586372,14.0,8.0,1.4072906679923747,0.42275436802359856,30.040302095280378
P2_x420_h55,347.0862459961053,-338.0862459961053,14.0,8.0,1.4508589168096613,0.38504823166255847,26.539329717134247
P2_x0_h85,50.10139789775538,-41.10139789775538,44.0,8.0,20.25143131732691,1.5491143450913571,7.649406705223602
P2_x5_h85,53.63693180368812,-44.63693180368812,44.0,8.0,20.75634374018285,1.5544485533898371,7.48902876560351
P2_x30_h85,71.3146013333518,-62.3146013333518,44.0,8.0,19.008047536829736,1.450839382060225,7.6327638556727
P2_x57_h85,90.40648442538858,-81.40648442538858,44.0,8.0,12.254235296723264,1.2834699326164531,10.47368441635561
P2_x114_h85,130.7115709530218,-121.7115709530218,44.0,8.0,6.467797074667967,0.8950395487604692,13.838398738049728
P2_x156_h85,160.4100557628568,-151.4100557628568,44.0,8.0,4.490892502500973,0.7419567384050632,16.521364917816854
P2_x176_h85,174.55219138658774,-165.55219138658774,44.0,8.0,2.6875859207977566,0.5437301539232934,20.23117287955943
P2_x199_h85,190.81564735387835,-181.81564735387835,44.0,8.0,2.9206525025083643,0.5406423119401289,18.51101120300362
P2_x300_h85,262.2334322537196,-253.23343225371963,44.0,8.0,1.8651639366970183,0.47763285004226147,25.608089489875727
P2_x321_h85,277.0826746586372,-268.0826746586372,44.0,8.0,1.678410204221239,0.42352750654503496,25.233849596472535
P3_x0_h45,53.25,0.0,4.0,8.0,121.8813409908761,4.202232735553396,3.4478064496090264
P3_x5_h45,58.25,0.0,4.0,8.0,95.13751178885933,3.409194410870668,3.583438694966886
P3_x57_h45,110.25,0.0,4.0,8.0,17.57761100146381,1.572854650088158,8.948056991118847
P3_x114_h45,167.25,0.0,4.0,8.0,7.489047165369371,0.9727357714784118,12.988778812563869
P3_x176_h45,229.25,0.0,4.0,8.0,3.502671751447513,0.7551384521667823,21.55892717765272
P3_x199_h45,252.25,0.0,4.0,8.0,2.666144334178552,0.5739738198723708,21.528235081436957
P3_x225_h45,278.25,0.0,4.0,8.0,3.2272961267315097,0.6706236383023603,20.779736719776746
P3_x300_h45,353.25,0.0,4.0,8.0,1.4760237926977204,0.43491353380503955,29.46521160137605
P3_x0_h85,53.25,0.0,44.0,8.0,52.16114689098533,2.5130802578252704,4.817916030637719
P3_x5_h85,58.25,0.0,44.0,8.0,44.06250574520006,2.3853376080476436,5.413531454251191
P3_x57_h85,110.25,0.0,44.0,8.0,13.176644344192983,1.248183001971901,9.47269251083628
P3_x100_h85,153.25,0.0,44.0,8.0,7.727792704015332,1.0109595898776775,13.082126146478886
P3_x114_h85,167.25,0.0,44.0,8.0,7.494954832552802,1.0237340454911215,13.658975515699472
P3_x176_h85,229.25,0.0,44.0,8.0,3.637192328085841,0.6826834883206374,18.769518539040686
P3_x200_h85,253.25,0.0,44.0,8.0,3.12763799332262,0.6693030408008483,21.399632637465817
P3_x225_h85,278.25,0.0,44.0,8.0,3.0784021159916697,0.6132020842143546,19.919492681898024
P3_x300_h85,353.25,0.0,44.0,8.0,2.188945429251846,0.5092432105654509,23.264317317380716
P3_x400_h85,453.25,0.0,44.0,8.0,0.3058720660373495,0.19568907115884993,63.977424841062366
P4_x0_h42,50.10139789775538,41.10139789775538,1.0,8.0,41.279436997096674,2.231891982008852,5.406788813921636
P4_x20_h42,64.24353352148633,55.243533521486334,1.0,8.0,25.596292472379677,1.7995050859494766,7.030334912336533
P4_x71_h42,100.30597936200024,91.30597936200024,1.0,8.0,8.975595654272793,1.0039974109632819,11.185858294377748
P4_x85_h45,110.20547429861192,101.20547429861192,4.0,8.0,8.720705957662727,1.0626926184890635,12.185855407213849
P4_x152_h113,157.5816286381106,148.5816286381106,72.0,8.0,5.032811809389834,0.8669292269997985,17.225544284853815
P5_x0_h45,0.0,44.25,4.0,8.0,177.27628346463015,4.587084854059192,2.58753442051621
P5_x6_h45,0.0,50.25,4.0,8.0,140.80558859802113,4.123143971214137,2.9282530702563916
P5_x0_h85,0.0,44.25,44.0,8.0,68.05119460279056,2.7943257597445696,4.106211178297204
P5_x6_h85,0.0,50.25,44.0,8.0,59.0721224255973,2.6480820260619513,4.482794789364936
