position,point_name,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,tally_name,detector_volume_cm3,gamma_dose_per_source [pSv/source],u_mc_gamma_dose_per_source [pSv/source],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],rel_u_mc_gamma_dose_rate [%],gamma_dose_mc_uncertainty_class
P3,P3_x5_h85,5.0,85.0,58.25,0.0,44.0,gamma_dose_P3_x5_h85,8.0,4.564806588050528e-06,2.6257191103127245e-07,0.11723972051191948,0.006743737520921713,5.75209279881906,moderate
P3,P3_x57_h85,57.0,85.0,110.25,0.0,44.0,gamma_dose_P3_x57_h85,8.0,8.842689301039986e-07,1.1057909125451225e-07,0.02271102624460621,0.0028400462326439216,12.505142665309645,high
P3,P3_x100_h85,100.0,85.0,153.25,0.0,44.0,gamma_dose_P3_x100_h85,8.0,6.203921558927013e-07,9.848101175502088e-08,0.015933775410123113,0.002529326505117177,15.873993702146917,high
P3,P3_x114_h85,114.0,85.0,167.25,0.0,44.0,gamma_dose_P3_x114_h85,8.0,4.413542295759745e-07,8.036664884435049e-08,0.011335474028120652,0.002064088207736116,18.209103585925014,high
P3,P3_x176_h85,176.0,85.0,229.25,0.0,44.0,gamma_dose_P3_x176_h85,8.0,3.6555809968330845e-07,7.667950178300477e-08,0.0093887722537753,0.001969389761565338,20.97600951789443,high
P3,P3_x200_h85,200.0,85.0,253.25,0.0,44.0,gamma_dose_P3_x200_h85,8.0,2.3815632682706457e-07,6.175898329913778e-08,0.006116662482139176,0.0015861802250385006,25.93211951240061,very high
P3,P3_x225_h85,225.0,85.0,278.25,0.0,44.0,gamma_dose_P3_x225_h85,8.0,1.3739551702685715e-07,4.3059496104880124e-08,0.0035287830283952234,0.0011059139508638374,31.339811543096527,very high
P3,P3_x300_h85,300.0,85.0,353.25,0.0,44.0,gamma_dose_P3_x300_h85,8.0,2.212185235407112e-07,6.573748278560055e-08,0.005681642227704693,0.0016883615899775375,29.71608422904187,very high
P3,P3_x400_h85,400.0,85.0,453.25,0.0,44.0,gamma_dose_P3_x400_h85,8.0,7.15254745607429e-08,3.5703714059934974e-08,0.001837016856077821,0.0009169925114859946,49.917479442395944,very high
P4,P4_x0_h42,0.0,42.0,50.10139789775538,41.10139789775538,1.0,gamma_dose_P4_x0_h42,8.0,1.2451863622911248e-06,1.427257254397472e-07,0.03198061041237029,0.003665680864600019,11.462197929724667,high
P4,P4_x20_h42,20.0,42.0,64.24353352148633,55.243533521486334,1.0,gamma_dose_P4_x20_h42,8.0,9.024506386863315e-07,1.207318884993338e-07,0.02317799420732382,0.003100804511978908,13.378226278955193,high
P4,P4_x71_h42,71.0,42.0,100.30597936200024,91.30597936200024,1.0,gamma_dose_P4_x71_h42,8.0,4.791479093667287e-07,9.171641657696148e-08,0.012306143950343422,0.002355588750240982,19.141566682025083,high
P4,P4_x85_h45,85.0,45.0,110.20547429861192,101.20547429861192,4.0,gamma_dose_P4_x85_h45,8.0,2.4963571159174496e-07,5.5085690908770785e-08,0.006411492029788133,0.0014147874355194445,22.06643054294175,high
P4,P4_x152_h113,152.0,113.0,157.5816286381106,148.5816286381106,72.0,gamma_dose_P4_x152_h113,8.0,2.13873621247548e-07,4.342435932359918e-08,0.005493000217265088,0.0011152848762168805,20.30374717101632,high
P5,P5_x0_h45,0.0,45.0,0.0,44.25,4.0,gamma_dose_P5_x0_h45,8.0,1.2369983709873536e-05,4.587294588483543e-07,0.3177031501573266,0.011781728865961282,3.708407946262721,low
P5,P5_x6_h45,6.0,45.0,0.0,50.25,4.0,gamma_dose_P5_x6_h45,8.0,9.02010768293341e-06,3.8545277680085066e-07,0.23166696843253526,0.009899735060182316,4.273261366160304,low
P5,P5_x0_h85,0.0,85.0,0.0,44.25,44.0,gamma_dose_P5_x0_h85,8.0,1.6894210472845113e-05,5.524508924272757e-07,0.4339006430832772,0.014188813255370584,3.2700604346989572,low
P5,P5_x6_h85,6.0,85.0,0.0,50.25,44.0,gamma_dose_P5_x6_h85,8.0,1.339443673056242e-05,4.882395314055698e-07,0.3440145794602819,0.012539647650067303,3.645091923063413,low
