point_name,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_gamma_flux [photon/cm2/s],u_mc_common_gamma_flux [photon/cm2/s],rel_u_mc_common_gamma_flux [%]
P3_x225_h85,278.25,0.0,44.0,8.0,0.2112594276466182,0.05391060222624443,25.518672859619205
P3_x300_h85,353.25,0.0,44.0,8.0,0.19988949481596027,0.05290257526297506,26.465910733169267
P3_x400_h85,453.25,0.0,44.0,8.0,0.09942751435165334,0.03774700886433942,37.96434931565977
P4_x0_h42,50.10139789775538,41.10139789775538,1.0,8.0,1.551934637679058,0.14334442995855295,9.236499171957831
P4_x20_h42,64.24353352148633,55.243533521486334,1.0,8.0,1.2633056126424416,0.13057959250048462,10.336342306542344
P4_x71_h42,100.30597936200024,91.30597936200024,1.0,8.0,0.6570434124340568,0.09323398880274764,14.189928251065895
P4_x85_h45,110.20547429861192,101.20547429861192,4.0,8.0,0.4472553386137269,0.07660368365544977,17.127505709128876
P4_x152_h113,157.5816286381106,148.5816286381106,72.0,8.0,0.349820951195748,0.06349600409530864,18.15100092726534
P5_x0_h45,0.0,44.25,4.0,8.0,15.572050648398546,0.46044285102049287,2.956854311720631
P5_x6_h45,0.0,50.25,4.0,8.0,11.46627970337328,0.394152525946596,3.4374926841409574
P5_x0_h85,0.0,44.25,44.0,8.0,18.491808578883926,0.49669151208525963,2.68600829370708
P5_x6_h85,0.0,50.25,44.0,8.0,14.295754065018647,0.4339564106729934,3.035561528963861
