model_key,scenario,scenario_label,particle,side,openmc_net_current_per_source,openmc_net_current_std_per_source,outward_sign,outward_current_per_source,outward_current_std_per_source,surface_area_cm2,outward_current_per_source_per_cm2,outward_current_std_per_source_per_cm2,source_rate,source_rate_unit,outward_current_rate,outward_current_rate_std,current_rate_unit,relative_uncertainty
no_cabinet_no_lead_neutron,no_cabinet_no_lead,No cabinet / no lead,neutron,x_max,0.07604447000000003,2.5965923757605666e-05,1.0,0.07604447000000003,2.5965923757605666e-05,150000.0,5.069631333333336e-07,1.7310615838403778e-10,12000000.0,n/s,912533.6400000004,311.591085091268,n/s,0.00034145709421875984
no_cabinet_no_lead_neutron,no_cabinet_no_lead,No cabinet / no lead,neutron,y_min,-0.07439397714177001,2.4547340878324263e-05,-1.0,0.07439397714177001,2.4547340878324263e-05,150000.0,4.959598476118001e-07,1.6364893918882842e-10,12000000.0,n/s,892727.7257012401,294.56809053989116,n/s,0.0003299640887802685
no_cabinet_no_lead_neutron,no_cabinet_no_lead,No cabinet / no lead,neutron,y_max,0.18147314,3.725543740376792e-05,1.0,0.18147314,3.725543740376792e-05,150000.0,1.2098209333333334e-06,2.483695826917861e-10,12000000.0,n/s,2177677.68,447.065248845215,n/s,0.00020529449925078672
no_cabinet_no_lead_neutron,no_cabinet_no_lead,No cabinet / no lead,neutron,z_min,-0.17689548714177009,3.617956390675298e-05,-1.0,0.17689548714177009,3.617956390675298e-05,360000.0,4.913763531715835e-07,1.0049878862986938e-10,12000000.0,n/s,2122745.845701241,434.15476688103575,n/s,0.0002045250813988117
no_cabinet_no_lead_neutron,no_cabinet_no_lead,No cabinet / no lead,neutron,z_max,0.13870191000000007,3.436874197116758e-05,1.0,0.13870191000000007,3.436874197116758e-05,360000.0,3.8528308333333354e-07,9.546872769768771e-11,12000000.0,n/s,1664422.9200000009,412.42490365401096,n/s,0.0002477885270013049
no_cabinet_no_lead_photon,no_cabinet_no_lead,No cabinet / no lead,photon,x_min,-0.4888157000000002,5.25377583404211e-05,-1.0,0.4888157000000002,5.25377583404211e-05,150000.0,3.2587713333333347e-06,3.50251722269474e-10,7825217.082711654,photons/s,3825088.9659376564,411.11936405283984,photons/s,0.0001074796868030652
no_cabinet_no_lead_photon,no_cabinet_no_lead,No cabinet / no lead,photon,x_max,0.2007274700000001,3.999005009124116e-05,1.0,0.2007274700000001,3.999005009124116e-05,150000.0,1.338183133333334e-06,2.6660033394160776e-10,7825217.082711654,photons/s,1570736.0272134917,312.9308231124751,photons/s,0.00019922559723012072
no_cabinet_no_lead_photon,no_cabinet_no_lead,No cabinet / no lead,photon,y_min,-0.19678098000000022,3.882921703103071e-05,-1.0,0.19678098000000022,3.882921703103071e-05,150000.0,1.3118732000000013e-06,2.588614468735381e-10,7825217.082711654,photons/s,1539853.886248742,303.8470524195398,photons/s,0.00019732200251787886
no_cabinet_no_lead_photon,no_cabinet_no_lead,No cabinet / no lead,photon,y_max,0.49615549999999986,5.260183462903618e-05,1.0,0.49615549999999986,5.260183462903618e-05,150000.0,3.3077033333333323e-06,3.5067889752690785e-10,7825217.082711654,photons/s,3882524.494281341,411.62077492110734,photons/s,0.0001060188481817418
no_cabinet_no_lead_photon,no_cabinet_no_lead,No cabinet / no lead,photon,z_min,-0.4939568099999997,5.332357598547829e-05,-1.0,0.4939568099999997,5.332357598547829e-05,360000.0,1.3721022499999992e-06,1.4812104440410635e-10,7825217.082711654,photons/s,3865319.2677337523,417.2685577128376,photons/s,0.00010795189965187102
no_cabinet_no_lead_photon,no_cabinet_no_lead,No cabinet / no lead,photon,z_max,0.3971021700000003,5.123243118859543e-05,1.0,0.3971021700000003,5.123243118859543e-05,360000.0,1.103061583333334e-06,1.4231230885720953e-10,7825217.082711654,photons/s,3107410.6842658697,400.90489572584625,photons/s,0.00012901574219197892
