position,neutron_point_id,gamma_point_id,neutron_distance_cm,gamma_distance_cm,distance_difference_cm,neutron_height_cm,gamma_height_cm,height_difference_cm,geometry_x_cm,geometry_y_cm,geometry_z_cm,geometry_separation_cm,neutron_dose_rate_uSv_h,neutron_dose_rate_uncertainty_uSv_h,gamma_dose_rate_uSv_h,gamma_dose_rate_uncertainty_uSv_h,total_dose_rate_uSv_h,total_dose_rate_uncertainty_uSv_h,total_relative_uncertainty_percent,neutron_fraction,gamma_fraction,neutron_fraction_percent,gamma_fraction_percent,gamma_to_neutron_dose_ratio,match_score,dominant_component,match_method,height_tolerance_cm,distance_tolerance_cm,log10_total_dose_rate_uSv_h
P2,P2_x114_h55,P2_x114_h65,114.0,114.0,0.0,55.0,65.0,10.0,123.81727983645295,-114.81727983645295,14.0,10.0,13.566666666666666,0.4632496731699649,0.647,0.0464818165032564,14.213666666666667,0.46557579292476287,3.275550242194809,0.9544804296334514,0.04551957036654863,95.44804296334515,4.551957036654863,0.047690417690417694,0.4,neutron dominated,standard_approx_match,25.0,25.0,1.1527061263220573
P2,P2_x176_h55,P2_x176_h65,176.0,176.0,0.0,55.0,65.0,10.0,167.65790027001893,-158.65790027001893,14.0,10.0,8.917637271214643,0.4015926304513637,0.3379999999999999,0.0379092141067355,9.255637271214642,0.4033779237229473,4.3581863884993295,0.9634817149704871,0.036518285029512966,96.34817149704871,3.6518285029512967,0.03790241627017445,0.4,neutron dominated,standard_approx_match,25.0,25.0,0.9664063262595214
P2,P2_x199_h55,P2_x199_h65,199.0,199.0,0.0,55.0,65.0,10.0,183.9213562373095,-174.9213562373095,14.0,10.0,7.503327787021631,0.3792458910503909,0.2469999999999998,0.0324146497105825,7.7503277870216305,0.3806286318637429,4.911129468628765,0.9681303801868076,0.031869619813192356,96.81303801868077,3.1869619813192354,0.032918727131611016,0.4,neutron dominated,standard_approx_match,25.0,25.0,0.8893200706462245
P2,P2_x420_h55,P2_x420_h65,420.0,420.0,0.0,55.0,65.0,10.0,340.1919548795365,-331.1919548795365,14.0,10.0,2.216666666666667,0.2342527002683399,0.0309999999999999,0.0207189234674346,2.2476666666666665,0.2351671774986001,10.462724788607451,0.9862079193237433,0.013792080676256814,98.62079193237433,1.3792080676256815,0.01398496240601499,0.4,neutron dominated,standard_approx_match,25.0,25.0,0.3517319049569776
P2,P2_x0_h85,P2_x2_h65,0.0,2.0,2.0,85.0,65.0,20.0,43.20710678118655,-34.207106781186546,44.0,20.09975124224178,25.83943427620632,0.6606920417734876,3.429,0.0865873004602965,29.268434276206317,0.6663417551555819,2.2766566495061284,0.8828430667783417,0.11715693322165835,88.28430667783418,11.715693322165835,0.13270414372645611,0.88,neutron dominated,standard_approx_match,25.0,25.0,1.466399490339789
P2,P2_x5_h85,P2_x2_h65,5.0,2.0,3.0,85.0,65.0,20.0,46.74264068711928,-37.74264068711928,44.0,20.223748416156685,25.116666666666667,0.6188061668707732,3.429,0.0865873004602965,28.545666666666666,0.6248347243538093,2.1888951890671415,0.8798766888144144,0.12012331118558567,87.98766888144144,12.012331118558567,0.13652289316522892,0.92,neutron dominated,standard_approx_match,25.0,25.0,1.455540190144372
P2,P2_x57_h85,P2_x57_h65,57.0,57.0,0.0,85.0,65.0,20.0,83.51219330881976,-74.51219330881976,44.0,20.0,19.633111480865225,0.5846282309199596,1.5569999999999995,0.0633064333817071,21.190111480865223,0.5880458085014416,2.7750953978342676,0.926522330880327,0.07347766911967303,92.6522330880327,7.3477669119673035,0.07930480105089197,0.8,neutron dominated,standard_approx_match,25.0,25.0,1.3261332415336944
P2,P2_x114_h85,P2_x114_h65,114.0,114.0,0.0,85.0,65.0,20.0,123.81727983645295,-114.81727983645295,44.0,20.0,12.95,0.4580586772549668,0.647,0.0464818165032564,13.597,0.4604110240578653,3.386122115598039,0.9524159741119365,0.04758402588806355,95.24159741119365,4.758402588806355,0.04996138996138996,0.8,neutron dominated,standard_approx_match,25.0,25.0,1.1334430975490979
P2,P2_x156_h85,P2_x176_h85,156.0,176.0,20.0,85.0,85.0,0.0,153.51576464628798,-144.51576464628798,44.0,19.99999999999996,10.133333333333333,0.4324398991419221,0.2669999999999999,0.0341774559833792,10.400333333333332,0.4337883871974578,4.170908501626145,0.97432774590558,0.025672254094420043,97.432774590558,2.5672254094420044,0.02634868421052631,0.8,neutron dominated,standard_approx_match,25.0,25.0,1.0170472587706458
P2,P2_x176_h85,P2_x176_h85,176.0,176.0,0.0,85.0,85.0,0.0,167.65790027001893,-158.65790027001893,44.0,4.0194366942304644e-14,9.300332778702163,0.3835071234475394,0.2669999999999999,0.0341774559833792,9.567332778702163,0.3850270279246667,4.02439255360465,0.972092535487595,0.027907464512405018,97.2092535487595,2.790746451240502,0.028708650147598165,0.0,neutron dominated,standard_approx_match,25.0,25.0,0.9807908802070598
P2,P2_x199_h85,P2_x200_h85,199.0,200.0,1.0,85.0,85.0,0.0,183.9213562373095,-174.9213562373095,44.0,0.9999999999999678,7.519966722129784,0.3782932452003447,0.2109999999999999,0.0311659621273841,7.730966722129784,0.3795748892636783,4.9097985142938265,0.9727071648884459,0.02729283511155408,97.2707164888446,2.729283511155408,0.028058634804735024,0.04,neutron dominated,standard_approx_match,25.0,25.0,0.8882338038582649
P2,P2_x300_h85,P2_x321_h85,300.0,321.0,21.0,85.0,85.0,0.0,255.3391411371508,-246.3391411371508,44.0,20.999999999999968,5.406821963394343,0.3150459107364179,0.049,0.023259406699226,5.455821963394343,0.3159033489403666,5.79020633480912,0.9910187685139353,0.008981231486064589,99.10187685139354,0.8981231486064589,0.009062625019233729,0.84,neutron dominated,standard_approx_match,25.0,25.0,0.7368601898051355
P2,P2_x321_h85,P2_x321_h85,321.0,321.0,0.0,85.0,85.0,0.0,270.1883835420683,-261.1883835420683,44.0,8.038873388460929e-14,3.8166666666666655,0.2718976028519812,0.049,0.023259406699226,3.8656666666666655,0.2728906492290524,7.059342482427846,0.9873243080106925,0.012675691989307583,98.73243080106924,1.2675691989307585,0.012838427947598258,0.0,neutron dominated,standard_approx_match,25.0,25.0,0.5872244024425084
P3,P3_x0_h45,P3_x5_h64,0.0,5.0,5.0,45.0,64.0,19.0,43.5,0.0,4.0,19.6468827043885,130.2071547420965,2.02372841860296,4.875,0.1031738649595161,135.0821547420965,2.0263567204892436,1.5000920916297447,0.9639108510720197,0.0360891489279803,96.39108510720197,3.6089148927980297,0.037440338894248894,0.96,neutron dominated,standard_approx_match,25.0,25.0,2.1305979795998766
P3,P3_x5_h45,P3_x5_h64,5.0,5.0,0.0,45.0,64.0,19.0,48.5,0.0,4.0,19.0,100.8477537437604,2.210289871837092,4.875,0.1031738649595161,105.7227537437604,2.212696581991375,2.09292371191378,0.9538888287774313,0.04611117122256868,95.38888287774313,4.611117122256868,0.04834019419397949,0.76,neutron dominated,standard_approx_match,25.0,25.0,2.024168466606328
P3,P3_x57_h45,P3_x57_h64,57.0,57.0,0.0,45.0,64.0,19.0,100.5,0.0,4.0,19.0,23.99251247920133,0.6089788511217575,1.0139999999999998,0.052985083105715,25.00651247920133,0.6112795270130477,2.4444813227013054,0.9594505630945789,0.0405494369054211,95.9450563094579,4.05494369054211,0.04226318526994694,0.76,neutron dominated,standard_approx_match,25.0,25.0,1.39805312729025
P3,P3_x114_h45,P3_x114_h64,114.0,114.0,0.0,45.0,64.0,19.0,157.5,0.0,4.0,19.0,12.69467554076539,0.4552229911998541,0.325,0.0351923642879193,13.01967554076539,0.45658128982812696,3.506856130158877,0.9750377803976448,0.02496221960235533,97.50377803976447,2.4962219602355327,0.025601284487843243,0.76,neutron dominated,standard_approx_match,25.0,25.0,1.1146001614509922
P3,P3_x176_h45,P3_x176_h45,176.0,176.0,0.0,45.0,45.0,0.0,219.5,0.0,4.0,0.0,7.416666666666667,0.3772385728253471,0.1429999999999998,0.0286497180423562,7.559666666666667,0.3783249227465873,5.004518577714017,0.9810838220380088,0.018916177961991243,98.10838220380089,1.8916177961991243,0.019280898876404468,0.0,neutron dominated,standard_approx_match,25.0,25.0,0.8785026462923626
P3,P3_x199_h45,P3_x199_h45,199.0,199.0,0.0,45.0,45.0,0.0,242.5,0.0,4.0,0.0,5.872712146422629,0.3269749758421216,0.093,0.0252619994132939,5.965712146422629,0.3279493915855208,5.497237941360905,0.9844109139500189,0.015589086049981132,98.44109139500189,1.5589086049981133,0.01583595410114747,0.0,neutron dominated,standard_approx_match,25.0,25.0,0.7756622942429015
P3,P3_x225_h45,P3_x225_h45,225.0,225.0,0.0,45.0,45.0,0.0,268.5,0.0,4.0,0.0,5.406821963394343,0.3355071891305184,0.0919999999999998,0.0244771707204379,5.4988219633943425,0.33639887907770877,6.117653586843074,0.9832691437161553,0.01673085628384476,98.32691437161553,1.6730856283844757,0.0170155408524388,0.0,neutron dominated,standard_approx_match,25.0,25.0,0.7402696586585823
P3,P3_x0_h85,P3_x5_h64,0.0,5.0,5.0,85.0,64.0,21.0,43.5,0.0,44.0,21.587033144922902,37.08735440931781,0.858647971021281,4.875,0.1031738649595161,41.96235440931781,0.8648243663019949,2.0609529147629506,0.8838244405343114,0.11617555946568857,88.38244405343114,11.617555946568856,0.13144642096054193,1.04,neutron dominated,standard_approx_match,25.0,25.0,1.6228598474502403
