position,measured_point_id,simulated_point_id,measured_distance_cm,simulated_distance_cm,distance_difference_cm,measured_height_cm,simulated_height_cm,height_difference_cm,measured_geometry_x_cm,measured_geometry_y_cm,measured_geometry_z_cm,simulated_geometry_x_cm,simulated_geometry_y_cm,simulated_geometry_z_cm,geometry_separation_cm,match_score,exact_distance_height_match,measured_neutron_dose_rate_uSv_h,measured_neutron_dose_rate_uncertainty_uSv_h,measured_gamma_dose_rate_uSv_h,measured_gamma_dose_rate_uncertainty_uSv_h,measured_total_dose_rate_uSv_h,measured_total_dose_rate_uncertainty_uSv_h,simulated_neutron_dose_rate_uSv_h,simulated_neutron_dose_rate_uncertainty_uSv_h,simulated_gamma_dose_rate_uSv_h,simulated_gamma_dose_rate_uncertainty_uSv_h,simulated_total_dose_rate_uSv_h,simulated_total_dose_rate_uncertainty_uSv_h,neutron_residual_uSv_h,neutron_residual_uncertainty_uSv_h,neutron_pull,neutron_simulation_to_measurement_ratio,neutron_relative_difference_percent,neutron_log10_ratio,neutron_agreement_class,gamma_residual_uSv_h,gamma_residual_uncertainty_uSv_h,gamma_pull,gamma_simulation_to_measurement_ratio,gamma_relative_difference_percent,gamma_log10_ratio,gamma_agreement_class,total_residual_uSv_h,total_residual_uncertainty_uSv_h,total_pull,total_simulation_to_measurement_ratio,total_relative_difference_percent,total_log10_ratio,total_agreement_class,total_absolute_log10_ratio,model_bias_direction
P2,P2_x114_h55,P2_x114_h55,114.0,114.0,0.0,55.0,55.0,0.0,123.81727983645295,-114.81727983645295,14.0,123.81727983645295,-114.81727983645295,14.0,0.0,0.0,True,13.566666666666666,0.4632496731699649,0.647,0.0464818165032564,14.213666666666668,0.4655757929247628,4.786055805576795,0.788286572030711,0.0099580856572156,0.0018518916513821,4.7960138912340105,0.788288747317008,-8.780610861089873,0.9143281573570884,-9.603347321677887,0.35278052620959177,-64.72194737904083,-0.4524953963098849,within factor 10,-0.6370419143427845,0.046518692674352505,-13.6943210937226,0.015391167940055022,-98.46088320599449,-1.8127284230096297,outside factor 10,-9.417652775432657,0.9155107689722385,-10.286774437405043,0.3374227075749169,-66.2577292425083,-0.47182569399751045,within factor 10,0.47182569399751045,simulation low
P2,P2_x176_h55,P2_x176_h55,176.0,176.0,0.0,55.0,55.0,0.0,167.65790027001893,-158.65790027001893,14.0,167.6579002700189,-158.6579002700189,14.0,4.0194366942304644e-14,1.004859173557616e-15,True,8.917637271214643,0.4015926304513637,0.3379999999999999,0.0379092141067355,9.255637271214642,0.4033779237229473,2.1689331868498725,0.5770720059056674,0.0068620521126243,0.0014418837616261,2.175795238962497,0.5770738072627909,-6.74870408436477,0.7030567123872983,-9.599089185065713,0.24321836837331343,-75.67816316266867,-0.6140036293091168,within factor 10,-0.3311379478873756,0.037936625350343894,-8.728713870285615,0.020301929327290833,-97.9698070672709,-1.692462688373409,outside factor 10,-7.079842032252145,0.7040794900973956,-10.055458413186823,0.23507784231446674,-76.49221576855332,-0.6287883041547686,within factor 10,0.6287883041547686,simulation low
P2,P2_x199_h55,P2_x199_h55,199.0,199.0,0.0,55.0,55.0,0.0,183.9213562373095,-174.9213562373095,14.0,183.9213562373095,-174.9213562373095,14.0,0.0,0.0,True,7.503327787021631,0.3792458910503909,0.2469999999999998,0.0324146497105825,7.7503277870216305,0.3806286318637429,2.271054987638372,0.4938992494536742,0.0055976011670737,0.001413656207277,2.2766525888054456,0.4939012725583678,-5.232272799383258,0.6227069250373788,-8.402464448374625,0.302673034165797,-69.7326965834203,-0.5190262696105354,within factor 10,-0.2414023988329261,0.03244546100353852,-7.4402517753284085,0.022662352903132406,-97.73376470968677,-1.6446950018072006,outside factor 10,-5.473675198216185,0.6235516196989949,-8.778223045685415,0.29374920021032286,-70.62507997896772,-0.5320233071703054,within factor 10,0.5320233071703054,simulation low
P2,P2_x420_h55,P2_x420_h55,420.0,420.0,0.0,55.0,55.0,0.0,340.1919548795365,-331.1919548795365,14.0,340.19195487953647,-331.19195487953647,14.0,8.038873388460929e-14,2.009718347115232e-15,True,2.216666666666667,0.2342527002683399,0.0309999999999999,0.0207189234674346,2.2476666666666665,0.2351671774986001,0.6355018533344038,0.2835197618659791,0.002608406283798,0.0011763594702769,0.6381102596182019,0.2835222022878364,-1.581164813332263,0.3677740922788746,-4.299282756799798,0.2866925654140167,-71.33074345859833,-0.5425835691446645,within factor 10,-0.0283915937162019,0.020752291710862257,-1.3681184763483758,0.08414213818703253,-91.58578618129675,-1.0749864560576632,outside factor 10,-1.6095564070484647,0.36835911901675916,-4.369530504212209,0.28389897358069194,-71.61010264193081,-0.5468361776363387,within factor 10,0.5468361776363387,simulation low
P2,P2_x0_h85,P2_x0_h85,0.0,0.0,0.0,85.0,85.0,0.0,43.20710678118655,-34.207106781186546,44.0,43.20710678118655,-34.207106781186546,44.0,0.0,0.0,True,25.83943427620632,0.6606920417734876,3.429,0.0865873004602965,29.26843427620632,0.6663417551555819,7.595412056014931,0.8494505804654109,0.0212140246158495,0.0027804709102726,7.61662608063078,0.8494551310525509,-18.24402222019139,1.0761413767325572,-16.95318348931527,0.29394653051707875,-70.60534694829214,-0.5317316614697287,within factor 10,-3.4077859753841504,0.08663193186974728,-39.33637288047345,0.006186650514975066,-99.3813349485025,-2.2085444166622006,outside factor 10,-21.65180819557554,1.079622783353208,-20.054975246379147,0.2602334654717998,-73.97665345282002,-0.5846368548336774,within factor 10,0.5846368548336774,simulation low
P2,P2_x5_h85,P2_x5_h85,5.0,5.0,0.0,85.0,85.0,0.0,46.74264068711928,-37.74264068711928,44.0,46.74264068711928,-37.74264068711928,44.0,0.0,0.0,True,25.116666666666667,0.6188061668707732,3.429,0.0865873004602965,28.545666666666666,0.6248347243538093,8.82846940345688,1.0144907820613938,0.0229807457123838,0.0027244280170204,8.851450149169265,1.014494440298003,-16.28819726320979,1.1883234488323613,-13.706871878371551,0.35149845003809743,-64.85015499619027,-0.4540765856978858,within factor 10,-3.406019254287616,0.08663015126976051,-39.31678756604614,0.006701879764474716,-99.32981202355253,-2.1738033679202586,outside factor 10,-19.694216517497402,1.191476983476332,-16.529246297344542,0.3100803443313964,-68.99196556686036,-0.5085257623630026,within factor 10,0.5085257623630026,simulation low
P2,P2_x57_h85,P2_x57_h85,57.0,57.0,0.0,85.0,85.0,0.0,83.51219330881976,-74.51219330881976,44.0,83.51219330881975,-74.51219330881975,44.0,2.0097183471152322e-14,5.02429586778808e-16,True,19.633111480865225,0.5846282309199596,1.5569999999999995,0.0633064333817071,21.190111480865223,0.5880458085014416,6.707715146909471,0.9109525295009396,0.0177738695850478,0.0023035873721481,6.725489016494518,0.9109554421150032,-12.925396333955753,1.0824161304197024,-11.941245118865684,0.34165318897348124,-65.83468110265187,-0.46641452123978,within factor 10,-1.5392261304149517,0.06334833085641357,-24.29781668444885,0.011415458949934364,-98.85845410500656,-1.9425066233400037,outside factor 10,-14.464622464370706,1.0842682741900433,-13.340446095018217,0.31738809031597914,-68.26119096840209,-0.4984093737597882,within factor 10,0.4984093737597882,simulation low
P2,P2_x114_h85,P2_x114_h85,114.0,114.0,0.0,85.0,85.0,0.0,123.81727983645295,-114.81727983645295,44.0,123.81727983645295,-114.81727983645295,44.0,0.0,0.0,True,12.95,0.4580586772549668,0.647,0.0464818165032564,13.597,0.4604110240578653,4.21355037649769,0.7643064318822472,0.0085978479181605,0.0017022372103799,4.22214822441585,0.7643083274622177,-8.73644962350231,0.8910567174008297,-9.80459431245423,0.32537068544383707,-67.4629314556163,-0.48762157777738935,within factor 10,-0.6384021520818395,0.04651297536132042,-13.725248645622578,0.013288791218176969,-98.6711208781823,-1.8765145217774346,outside factor 10,-9.37485177558415,0.8922698753752167,-10.506744690491589,0.31052057250980736,-68.94794274901928,-0.5079096217949116,within factor 10,0.5079096217949116,simulation low
P2,P2_x156_h85,P2_x156_h85,156.0,156.0,0.0,85.0,85.0,0.0,153.51576464628798,-144.51576464628798,44.0,153.51576464628795,-144.51576464628795,44.0,4.0194366942304644e-14,1.004859173557616e-15,True,10.133333333333333,0.4324398991419221,0.2669999999999999,0.0341774559833792,10.400333333333332,0.4337883871974578,1.9528820488787555,0.4109289145519557,0.0057594311314931,0.0012064885120433,1.9586414800102487,0.4109306856750639,-8.180451284454577,0.5965457561534775,-13.713032403754013,0.19271862324461403,-80.72813767553859,-0.7150763155387851,within factor 10,-0.26124056886850683,0.03419874430480621,-7.638893596212908,0.021570903114206376,-97.84290968857937,-1.6661316718049324,outside factor 10,-8.441691853323084,0.5975252239836824,-14.127758150597531,0.18832487548574556,-81.16751245142545,-0.7250923110366041,within factor 10,0.7250923110366041,simulation low
P2,P2_x176_h85,P2_x176_h85,176.0,176.0,0.0,85.0,85.0,0.0,167.65790027001893,-158.65790027001893,44.0,167.6579002700189,-158.6579002700189,44.0,4.0194366942304644e-14,1.004859173557616e-15,True,9.300332778702163,0.3835071234475394,0.2669999999999999,0.0341774559833792,9.567332778702164,0.3850270279246667,2.195456659426928,0.5362453887182081,0.0075007850607349,0.0016746966416712,2.2029574444876623,0.536248003754218,-7.104876119275236,0.659269922457068,-10.776884971174928,0.2360621616093718,-76.39378383906283,-0.6269736203808505,within factor 10,-0.259499214939265,0.034218461484079726,-7.583602642684506,0.02809282794282735,-97.19071720571725,-1.5514045406792658,outside factor 10,-7.364375334214502,0.6601573553046923,-11.155484787131565,0.2302582648104041,-76.97417351895959,-0.6377847724356344,within factor 10,0.6377847724356344,simulation low
