file,folder,point,x_cm,y_cm,N,median_mrem_h,mean_mrem_h,std_mrem_h,min_mrem_h,max_mrem_h,sum_mrem_h,median_uSv_h,mean_uSv_h,external_flux_thermal_equiv_n_cm2_s,thermal_equiv_fraction_of_irradiation_flux
NF_P3_x_176_y_45_10_min_mrem.csv,neutron_logs_P3,P3,176.0,45.0,600,1.0,0.7916666666666666,0.8960666537534119,0,4,475,10.0,7.916666666666666,925.9259259259258,0.04025764895330112
NF_P3_x_199_y_45_10_min_mrem.csv,neutron_logs_P3,P3,199.0,45.0,601,0.0,0.6372712146422629,0.7691175948145742,0,4,383,0.0,6.372712146422629,0.0,0.0
NF_P3_x_225_y_45_10_min_mrem.csv,neutron_logs_P3,P3,225.0,45.0,601,0.0,0.5906821963394343,0.7908938195690377,0,4,355,0.0,5.906821963394343,0.0,0.0
NF_P3_x_300_y_45_10_min_mrem.csv,neutron_logs_P3,P3,300.0,45.0,601,0.0,0.33111480865224624,0.5643700811202448,0,4,199,0.0,3.3111480865224623,0.0,0.0
NF_P3_x_0_y_85_10_min_mrem.csv,neutron_logs_P3,P3,0.0,85.0,601,4.0,3.7587354409317806,2.0928515789607522,0,16,2259,40.0,37.587354409317804,3703.703703703703,0.16103059581320447
NF_P3_x_5_y_85_10_min_mrem.csv,neutron_logs_P3,P3,5.0,85.0,601,3.0,3.5008319467554077,2.2234543635323476,0,17,2104,30.0,35.008319467554074,2777.7777777777774,0.12077294685990336
NF_P3_x_57_y_85_10_min_mrem.csv,neutron_logs_P3,P3,57.0,85.0,601,2.0,1.7637271214642263,1.2412690087486544,0,6,1060,20.0,17.63727121464226,1851.8518518518515,0.08051529790660224
NF_P3_x_100_y_85_10_min_mrem.csv,neutron_logs_P3,P3,100.0,85.0,601,1.0,1.2795341098169717,1.121783007500967,0,6,769,10.0,12.795341098169716,925.9259259259258,0.04025764895330112
NF_P3_x_114_y_85_10_min_mrem.csv,neutron_logs_P3,P3,114.0,85.0,601,1.0,1.0848585690515806,1.0349494456078272,0,6,652,10.0,10.848585690515806,925.9259259259258,0.04025764895330112
NF_P3_x_176_y_85_10_min_mrem.csv,neutron_logs_P3,P3,176.0,85.0,600,0.0,0.6883333333333334,0.8939775623725676,0,5,413,0.0,6.883333333333334,0.0,0.0
NF_P3_x_200_y_85_10_min_mrem.csv,neutron_logs_P3,P3,200.0,85.0,600,0.0,0.515,0.737573742104297,0,4,309,0.0,5.15,0.0,0.0
NF_P3_x_225_y_85_10_min_mrem.csv,neutron_logs_P3,P3,225.0,85.0,600,0.0,0.3983333333333333,0.6166828345426749,0,3,239,0.0,3.9833333333333334,0.0,0.0
NF_P3_x_300_y_85_10_min_mrem.csv,neutron_logs_P3,P3,300.0,85.0,601,0.0,0.2579034941763727,0.5115742995933602,0,3,155,0.0,2.579034941763727,0.0,0.0
NF_P3_x_400_y_85_10_min_24h_mrem.csv,neutron_logs_P3,P3,400.0,85.0,600,0.0,0.12166666666666667,0.34698398430546673,0,2,73,0.0,1.2166666666666668,0.0,0.0
NF_P3_x_400_y_85_10_min_mrem.csv,neutron_logs_P3,P3,400.0,85.0,600,0.0,0.13166666666666665,0.3575989614791602,0,2,79,0.0,1.3166666666666664,0.0,0.0
