position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,tally,statepoint_file,detector_volume_cm3,flux_per_source [n/cm2/source],u_mc_per_source [n/cm2/source],flux_physical [n/cm2/s],u_mc_physical [n/cm2/s],rel_u_mc [%],mc_uncertainty_class
P2,P2_x300_h85,300.0,85.0,262.2334322537196,-253.23343225371963,44.0,flux_P2_x300_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.3954770703124797e-07,4.864447651736133e-08,1.526713159821113,0.5321919222580614,34.85867131193256,very high
P2,P2_x321_h85,321.0,85.0,277.08267465863713,-268.08267465863713,44.0,flux_P2_x321_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.9881299908725196e-07,4.7320791607281106e-08,2.175101465350792,0.5177102284010381,23.801658756987866,high
P3,P3_x0_h45,0.0,45.0,53.25,0.0,4.0,flux_P3_x0_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.0524214492574787e-05,3.658220861212428e-07,115.13952543122853,4.00225417469204,3.4760037091541935,low
P3,P3_x5_h45,5.0,45.0,58.25,0.0,4.0,flux_P3_x5_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,8.501410478697303e-06,3.105372516021654e-07,93.009161748261,3.397413821565292,3.652773294270458,low
P3,P3_x57_h45,57.0,45.0,110.25,0.0,4.0,flux_P3_x57_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.7405292536535133e-06,1.515033743394187e-07,19.042153920962743,1.6575134072930409,8.704442859630237,moderate
P3,P3_x114_h45,114.0,45.0,167.25,0.0,4.0,flux_P3_x114_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,8.349155252747635e-07,9.991016069930039e-08,9.134342275437811,1.0930610067660098,11.966499325356397,high
P3,P3_x176_h45,176.0,45.0,229.25,0.0,4.0,flux_P3_x176_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,3.068338725873047e-07,6.021444506404894e-08,3.356897229798384,0.6587724560033342,19.624445161906262,high
P3,P3_x199_h45,199.0,45.0,252.25,0.0,4.0,flux_P3_x199_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,2.5501071698218214e-07,5.63186381750621e-08,2.7899291632569443,0.6161506188404627,22.084812293985728,high
P3,P3_x225_h45,225.0,45.0,278.25,0.0,4.0,flux_P3_x225_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,2.5529646225758843e-07,5.5203259542930736e-08,2.7930553419781883,0.6039478870859601,21.623198008608473,high
P3,P3_x300_h45,300.0,45.0,353.25,0.0,4.0,flux_P3_x300_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,8.790635202561036e-08,3.272095604388274e-08,0.9617340716269487,0.35798161974053616,37.2225161093591,very high
P3,P3_x0_h85,0.0,85.0,53.25,0.0,44.0,flux_P3_x0_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,4.616683759698557e-06,2.0838510842298556e-07,50.50854650794018,2.2798245425048913,4.513740149197309,low
P3,P3_x5_h85,5.0,85.0,58.25,0.0,44.0,flux_P3_x5_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,4.088991434623883e-06,2.0328152212516057e-07,44.73536087725329,2.223989068537359,4.971434285820631,low
P3,P3_x57_h85,57.0,85.0,110.25,0.0,44.0,flux_P3_x57_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.3916149247323378e-06,1.259823940750037e-07,15.224878030540346,1.3783026825156532,9.052963706841176,moderate
P3,P3_x100_h85,100.0,85.0,153.25,0.0,44.0,flux_P3_x100_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,8.700708884259287e-07,1.0266222071380947e-07,9.518957377348125,1.123169751152814,11.799293836797457,high
P3,P3_x114_h85,114.0,85.0,167.25,0.0,44.0,flux_P3_x114_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,5.371609490595668e-07,8.439574934477397e-08,5.876776532684996,0.9233265375602225,15.71144542292764,high
P3,P3_x176_h85,176.0,85.0,229.25,0.0,44.0,flux_P3_x176_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,2.914009030352775e-07,6.2381220211464e-08,3.188053769655234,0.6824779270734619,21.407353086998505,high
P3,P3_x200_h85,200.0,85.0,253.25,0.0,44.0,flux_P3_x200_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.9397967944095833e-07,4.577063232105797e-08,2.122222827166031,0.5007508054736101,23.595580966504894,high
P3,P3_x225_h85,225.0,85.0,278.25,0.0,44.0,flux_P3_x225_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,2.0775338072964024e-07,4.8635323129995144e-08,2.272913164286131,0.5320917801830235,23.410123560533876,high
P3,P3_x300_h85,300.0,85.0,353.25,0.0,44.0,flux_P3_x300_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,6.590970363941332e-08,2.9275578828792197e-08,0.7210810843611318,0.3202876808953161,44.417706668742625,very high
P3,P3_x400_h85,400.0,85.0,453.25,0.0,44.0,flux_P3_x400_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.4291430612329015e-07,4.4447403238262547e-08,1.5635452314259275,0.48627409856713666,31.100737528626706,very high
P4,P4_x0_h42,0.0,42.0,50.10139789775538,41.10139789775538,1.0,flux_P4_x0_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,3.566031499267021e-06,2.1310500825806416e-07,39.013949667037295,2.3314623181771092,5.9759710003085145,moderate
P4,P4_x20_h42,20.0,42.0,64.24353352148633,55.243533521486334,1.0,flux_P4_x20_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,2.7780951357892293e-06,1.6755247442908163e-07,30.393580039940755,1.833097605926186,6.031200021574554,moderate
P4,P4_x71_h42,71.0,42.0,100.30597936200024,91.30597936200024,1.0,flux_P4_x71_h42,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.07108203225765e-06,1.1003977728597488e-07,11.718107510928354,1.20388345792499,10.273702104219845,high
P4,P4_x85_h45,85.0,45.0,110.20547429861192,101.20547429861192,4.0,flux_P4_x85_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,6.169750472419625e-07,7.852368022319387e-08,6.749977795727119,0.859083524227957,12.727205188315958,high
P4,P4_x152_h113,152.0,113.0,157.5816286381106,148.5816286381106,72.0,flux_P4_x152_h113,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,3.453944349002082e-07,6.301099599931686e-08,3.7787667050168423,0.6893679505894799,18.243199551701544,high
P5,P5_x0_h45,0.0,45.0,0.0,44.25,4.0,flux_P5_x0_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.5477404521561404e-05,4.1857803126124993e-07,169.3295982115377,4.579427368129135,2.7044458951637105,low
P5,P5_x6_h45,6.0,45.0,0.0,50.25,4.0,flux_P5_x6_h45,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.2447279719223676e-05,3.868513454143905e-07,136.1787030084122,4.232323500710774,3.107918791420219,low
P5,P5_x0_h85,0.0,85.0,0.0,44.25,44.0,flux_P5_x0_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,6.7347123180006625e-06,2.8154537951773787e-07,73.68070849919872,3.080230016966951,4.1805108551588495,low
P5,P5_x6_h85,6.0,85.0,0.0,50.25,44.0,flux_P5_x6_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,5.702744238969337e-06,2.501516546494577e-07,62.390524802954644,2.736768888784643,4.386513653199848,low
