measurement_kind,position,distance_cm,height_cm,background_height_cm,location_label,physical_point_id,duration_min,replicate_label,file,path,original_rows,valid_rows,invalid_rows,valid_fraction,sampling_interval_s,sampling_interval_consistent,one_second_cps_sampling,observed_duration_s,observed_duration_min,reconstructed_total_counts,mean_cps,median_cps,std_cps,sem_cps,poisson_sem_cps,file_effective_sem_cps,minimum_cps,maximum_cps,duration_difference_s,duration_matches_filename,file_quality_status
scan,P2,199.0,65.0,,,P2_x199_h65,10.0,,G_P2_x_199_y_65_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_199_y_65_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1363.0,2.2716666666666665,2.0,1.2070454922064795,0.049277425870540736,0.061531383139915775,0.061531383139915775,0.0,9.0,0.0,True,valid
scan,P2,321.0,65.0,,,P2_x321_h65,10.0,,G_P2_x_321_y_65_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_321_y_65_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1234.0,2.0566666666666666,2.0,0.7860143678922866,0.03208890219720599,0.058547226900834325,0.058547226900834325,0.0,7.0,0.0,True,valid
scan,P2,420.0,65.0,,,P2_x420_h65,10.0,,G_P2_x_420_y_65_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_420_y_65_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1147.0,1.9116666666666666,2.0,0.6490243523207723,0.02649630823043712,0.056445647406253664,0.056445647406253664,0.0,6.0,0.0,True,valid
scan,P2,176.0,85.0,,,P2_x176_h85,10.0,,G_P2_x_176_y_85_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_176_y_85_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1397.0,2.328333333333333,2.0,1.2987205295644155,0.05302004359849955,0.062294105303435855,0.062294105303435855,0.0,9.0,0.0,True,valid
scan,P2,200.0,85.0,,,P2_x200_h85,10.0,,G_P2_x_200_y_85_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_200_y_85_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1341.0,2.235,2.0,1.1656355249226076,0.04758687103536022,0.06103277807866852,0.06103277807866852,0.0,7.0,0.0,True,valid
scan,P2,321.0,85.0,,,P2_x321_h85,10.0,,G_P2_x_321_y_85_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_321_y_85_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1179.0,1.965,2.0,0.8009437255007569,0.03269839066934416,0.05722761571129799,0.05722761571129799,0.0,7.0,0.0,True,valid
scan,P2,400.0,85.0,,,P2_x400_h85,10.0,,G_P2_x_400_y_85_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_400_y_85_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1155.0,1.925,2.0,0.6403580488428822,0.026142507872488153,0.056642151559888096,0.056642151559888096,0.0,6.0,0.0,True,valid
scan,P2,400.0,98.0,,,P2_x400_h98,10.0,,G_P2_x_400_y_98_10_min_24h.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_400_y_98_10_min_24h.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1149.0,1.915,2.0,0.6259083549380869,0.02555260158905228,0.05649483752226098,0.05649483752226098,0.0,6.0,0.0,True,valid
scan,P3,176.0,45.0,,,P3_x176_h45,10.0,,G_P3_x_176_y_45_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P3/G_P3_x_176_y_45_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1259.0,2.098333333333333,2.0,1.036236877842396,0.042304193389476906,0.059137316664033907,0.059137316664033907,0.0,9.0,0.0,True,valid
scan,P3,199.0,45.0,,,P3_x199_h45,10.0,,G_P3_x_199_y_45_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P3/G_P3_x_199_y_45_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1209.0,2.015,2.0,0.8771491612520312,0.03580946455629531,0.057951128835712365,0.057951128835712365,0.0,8.0,0.0,True,valid
scan,P3,225.0,45.0,,,P3_x225_h45,10.0,,G_P3_x_225_y_45_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P3/G_P3_x_225_y_45_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1208.0,2.013333333333333,2.0,0.8392433723015883,0.03426196720252508,0.057927157323275885,0.057927157323275885,0.0,7.0,0.0,True,valid
scan,P3,320.0,45.0,,,P3_x320_h45,10.0,,G_P3_x_320_y_45_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P3/G_P3_x_320_y_45_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1195.0,1.9916666666666667,2.0,0.6549647728274888,0.02673882488208747,0.05761462005814535,0.05761462005814535,0.0,6.0,0.0,True,valid
scan,P3,5.0,64.0,,,P3_x5_h64,10.0,,G_P3_x_5_y_64_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P3/G_P3_x_5_y_64_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,5991.0,9.985,10.0,4.176982999522163,0.17052461688515416,0.12900258395344905,0.17052461688515416,0.0,25.0,0.0,True,valid
scan,P3,57.0,64.0,,,P3_x57_h64,10.0,,G_P3_x_57_y_64_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P3/G_P3_x_57_y_64_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,2130.0,3.55,3.0,2.093993317409488,0.08548691920751766,0.0769198717280955,0.08548691920751766,0.0,11.0,0.0,True,valid
scan,P3,114.0,64.0,,,P3_x114_h64,10.0,,G_P3_x_114_y_64_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P3/G_P3_x_114_y_64_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1441.0,2.401666666666667,2.0,1.3303936011994382,0.054313091333373295,0.06326750965367435,0.06326750965367435,0.0,10.0,0.0,True,valid
scan,P3,320.0,65.0,,,P3_x320_h65,10.0,,G_P3_x_320_y_65_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P3/G_P3_x_320_y_65_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1208.0,2.013333333333333,2.0,0.6380967805836412,0.02605019198237662,0.057927157323275885,0.057927157323275885,0.0,6.0,0.0,True,valid
scan,P3,176.0,88.0,,,P3_x176_h88,10.0,,G_P3_x_176_y_88_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P3/G_P3_x_176_y_88_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1256.0,2.0933333333333333,2.0,1.0114315986198474,0.04129152210576848,0.0590668171555645,0.0590668171555645,0.0,7.0,0.0,True,valid
scan,P4,0.0,58.0,,,P4_x0_h58,10.0,,G_P4_x_0_y_58_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P4/G_P4_x_0_y_58_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,2687.0,4.4783333333333335,4.0,2.445300877777686,0.0998289903022524,0.0863938012179629,0.0998289903022524,0.0,14.0,0.0,True,valid
scan,P4,20.0,58.0,,,P4_x20_h58,10.0,,G_P4_x_20_y_58_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P4/G_P4_x_20_y_58_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,2258.0,3.763333333333333,3.0,2.3487265520382112,0.09588635996366832,0.07919736247011148,0.09588635996366832,0.0,13.0,0.0,True,valid
scan,P4,71.0,58.0,,,P4_x71_h58,10.0,,G_P4_x_71_y_58_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P4/G_P4_x_71_y_58_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1611.0,2.685,2.0,1.5737119438248206,0.06424652107490458,0.06689544080129825,0.06689544080129825,0.0,11.0,0.0,True,valid
scan,P4,138.0,105.0,,,P4_x138_h105,10.0,,G_P4_x_138_y_105_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P4/G_P4_x_138_y_105_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1200.0,2.0,2.0,0.8648197434423813,0.03530611818197488,0.05773502691896258,0.05773502691896258,0.0,8.0,0.0,True,valid
scan,P5,0.0,40.0,,,P5_x0_h40,10.0,,G_P5_x_0_y_40_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P5/G_P5_x_0_y_40_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,15347.0,25.578333333333333,25.0,7.139010646481288,0.29144888920293033,0.20647168221224807,0.29144888920293033,0.0,49.0,0.0,True,valid
scan,P5,6.0,40.0,,,P5_x6_h40,10.0,,G_P5_x_6_y_40_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P5/G_P5_x_6_y_40_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,12318.0,20.53,20.0,6.428424462373919,0.262439329714023,0.1849774761063267,0.262439329714023,0.0,46.0,0.0,True,valid
scan,P5,6.0,50.0,,,P5_x6_h50,10.0,,G_P5_x_6_y_50_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P5/G_P5_x_6_y_50_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,10861.0,18.101666666666667,18.0,5.774389131208593,0.2357384491289019,0.1736935359892372,0.2357384491289019,0.0,45.0,0.0,True,valid
scan,P5,6.0,60.0,,,P5_x6_h60,10.0,,G_P5_x_6_y_60_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P5/G_P5_x_6_y_60_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,9807.0,16.345,16.0,5.468926487731728,0.22326798892890165,0.16505049732329397,0.22326798892890165,0.0,36.0,0.0,True,valid
scan,P5,6.0,85.0,,,P5_x6_h85,10.0,,G_P5_x_6_y_85_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P5/G_P5_x_6_y_85_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,9752.0,16.253333333333334,16.0,5.318172664525387,0.21711348986841367,0.1645870252750468,0.21711348986841367,0.0,34.0,0.0,True,valid
