position,distance_cm,height_cm,neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],total_dose_rate [uSv/h],u_mc_total_dose_rate [uSv/h],simulated_2202d_equivalent_proxy [uSv/h],u_mc_simulated_2202d_equivalent_proxy [uSv/h],simulated_gca_cs137_equivalent_proxy [uSv/h],u_mc_simulated_gca_cs137_equivalent_proxy [uSv/h],analysis_height_interval,neutron_component_conversion_factor,u_mc_neutron_component_conversion_factor,gamma_component_conversion_factor,u_mc_gamma_component_conversion_factor,theory_neutron_ap_fraction,theory_gamma_ap_fraction
P1,420.0,85.0,1.097911965414604,0.3731549848162393,0.0099065843673515,0.0058806189186359,1.1078185497819557,0.3732013188241355,1.097911965414604,0.3731549848162393,0.0068888280748911,0.0030655325665114,upper,1.0,0.4806586110890677,1.4380652644619971,1.0668805745646075,0.9910575749347205,0.008942425065279277
P2,2.0,55.0,14.653920723709415,1.1414139609280256,0.0176002913972334,0.0024411032162362,14.67152101510665,1.1414165712772515,14.653920723709415,1.1414139609280256,0.0058439295181221,0.0004617865704136,lower,1.0,0.11015503183490657,3.0117220515159655,0.4807535683418589,0.9988003771811312,0.0011996228188686855
P2,57.0,55.0,8.07485577954292,1.0207192218461822,0.0073312156841983,0.0021145398090496,8.082186995227119,1.0207214121026755,8.07485577954292,1.0207192218461822,0.0076088497793726,0.0015006136374584,lower,1.0,0.17876665618806795,0.9635116866248353,0.3366603946395271,0.9990929168443482,0.0009070831556517685
P2,114.0,55.0,4.353936976916607,0.754920359276662,0.0034771013785193,0.0009802601138277,4.357414078295126,0.7549209957076933,4.353936976916607,0.754920359276662,0.0034491940518056,0.0011501013630022,lower,1.0,0.24520763994996922,1.008090970323659,0.4401801573209801,0.9992020264046424,0.0007979735953576723
P2,176.0,55.0,1.922929344075894,0.4623431471205043,0.0030802882460179,0.0016727893252716,1.926009632321912,0.4623461732440521,1.922929344075894,0.4623431471205043,0.0024677088155433,0.0014979566995291,lower,1.0,0.34002910774774164,1.248238133533487,1.0166776946355844,0.9984006890753165,0.0015993109246834041
P2,199.0,55.0,2.086335296287209,0.5412330114566745,0.0010469951230897,0.0002559415884369,2.0873822914102997,0.5412330719722858,2.086335296287209,0.5412330114566745,0.0028986017518552,0.0011535006394093,lower,1.0,0.366872509211814,0.3612069586377601,0.16869651548627276,0.9994984171670905,0.0005015828329090202
P2,321.0,55.0,0.7589452616619261,0.3599011743639542,0.0006772237367433,0.0002907570788928,0.7596224853986695,0.3599012918123971,0.7589452616619261,0.3599011743639542,0.0018363538947167,0.0010800795419252,lower,1.0,0.6706374591297377,0.3687871595402788,0.2685490912931186,0.9991084732880334,0.0008915267119665045
P2,420.0,55.0,0.3335048641520298,0.1561602224869963,0.0001964957960814,0.0001331968638103,0.3337013599481113,0.1561602792921193,0.3335048641520298,0.1561602224869963,0.0005858086205657,0.0002449215003738,lower,1.0,0.6621909551629129,0.33542660381414185,0.2671428266129222,0.9994111627351112,0.000588837264888444
P2,0.0,85.0,8.32512804391287,1.0275994497709675,0.0155133176011557,0.0016468319762636,8.340641361514026,1.0276007693774627,8.32512804391287,1.0275994497709675,0.0080757943534101,0.0005537359343807,upper,1.0,0.17456128853367123,1.9209649134521383,0.2427615028789226,0.9981400330108019,0.001859966989198018
P2,5.0,85.0,11.225120659808631,1.185523525666984,0.0119606898149816,0.0015234558042321,11.237081349623615,1.185524504524248,11.225120659808631,1.185523525666984,0.0107143558164312,0.0009141306126535,upper,1.0,0.14935994893254,1.1163237454405854,0.17113943313356794,0.998935605301515,0.0010643946984847824
