point_name,position,distance_cm,height_cm,height_group,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,simulated_2202d_equivalent_proxy [uSv/h],u_mc_simulated_2202d_equivalent_proxy [uSv/h],gamma_flux [photon/cm2/s],u_mc_gamma_flux [photon/cm2/s],rel_u_mc_simulated_gca_cs137_equivalent_proxy [%],simulated_gca_proxy_mc_uncertainty_class,simulated_gca_cs137_equivalent_proxy [uSv/h],u_mc_simulated_gca_cs137_equivalent_proxy [uSv/h],simulated_combined_instrument_indication [uSv/h],u_mc_simulated_combined_instrument_indication [uSv/h],simulated_gamma_instrument_fraction,notebook_2_5_group_1_target_reached,notebook_2_5_group_1_configured_target_percent,notebook_2_5_group_1_max_relative_error_percent,notebook_2_5_gamma_input_convergence_status,instrument_proxy_status,pairing_method_for_notebook_6,neutron_proxy_response_reference,gamma_proxy_response_reference
P2_x176_h55,P2,176.0,55.0,Lower height group (42–55 cm),174.55219138658774,-165.55219138658774,14.0,168.29783190699274,-159.29783190699274,14.0,1.922929344075894,0.4623431471205043,0.2163356174745929,0.1313207561206874,60.70232800944586,very high,0.0024677088155433233,0.0014979566995291186,1.9253970528914375,0.46234557374713336,0.001281662300166855,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x199_h55,P2,199.0,55.0,Lower height group (42–55 cm),190.81564735387835,-181.81564735387835,14.0,184.56128787428327,-175.56128787428332,14.0,2.0863352962872095,0.5412330114566745,0.2541105319439685,0.1011234678549481,39.79507149166327,very high,0.0028986017518552133,0.0011535006394093861,2.0892338980390646,0.5412342406520358,0.00138739934986495,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x321_h55,P2,321.0,55.0,Lower height group (42–55 cm),277.0826746586372,-268.0826746586372,14.0,270.82831517904214,-261.82831517904214,14.0,0.7589452616619261,0.3599011743639542,0.1609868843573262,0.0946868905894937,58.816524692363686,very high,0.0018363538947167763,0.0010800795419252747,0.7607816155566429,0.3599027950438427,0.0024137727005576586,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x420_h55,P2,420.0,55.0,Lower height group (42–55 cm),347.0862459961053,-338.0862459961053,14.0,340.83188651651034,-331.83188651651034,14.0,0.3335048641520298,0.15616022248699632,0.0513558442770056,0.02147143280538,41.80913215946061,very high,0.0005858086205657769,0.0002449215003738582,0.3340906727725956,0.1561604145541678,0.0017534420093329494,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x0_h85,P2,0.0,85.0,Upper height group (85–113 cm),50.10139789775538,-41.10139789775538,44.0,43.84703841816037,-34.84703841816037,44.0,8.32512804391287,1.0275994497709675,0.707977354150737,0.0485441412404861,6.8567364416221785,moderate,0.00807579435341013,0.0005537359343807387,8.333203838266279,1.027599598965025,0.0009691103818108807,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x5_h85,P2,5.0,85.0,Upper height group (85–113 cm),53.63693180368812,-44.63693180368812,44.0,47.38257232409311,-38.38257232409311,44.0,11.225120659808633,1.185523525666984,0.9392910406570064,0.0801387138122703,8.531829895472615,moderate,0.01071435581643128,0.0009141306126535929,11.235835015625064,1.1855238780997426,0.0009535878554225307,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x30_h85,P2,30.0,85.0,Upper height group (85–113 cm),71.3146013333518,-62.3146013333518,44.0,65.06024185375679,-56.0602418537568,44.0,8.504392679414336,1.0358331445134006,0.6492547971901301,0.0791269976770399,12.187356646341126,high,0.0074059547163935705,0.0009025901143534056,8.511798634130729,1.0358335377566388,0.0008700810527515383,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x57_h85,P2,57.0,85.0,Upper height group (85–113 cm),90.40648442538858,-81.40648442538858,44.0,84.15212494579359,-75.15212494579359,44.0,6.165006953331356,0.8163827189579324,0.3822237946649014,0.0721840753445574,18.88529085632718,high,0.004359971042289292,0.0008233932125879724,6.169366924373645,0.8163831341897804,0.0007067128760106847,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x114_h85,P2,114.0,85.0,Upper height group (85–113 cm),130.7115709530218,-121.7115709530218,44.0,124.4572114734268,-115.4572114734268,44.0,3.1645504754910427,0.6166796878622083,0.2139681325538592,0.0668978442266983,31.2653306958498,very high,0.0024407032605738717,0.0007630939457228092,3.1669911787516165,0.616680159997223,0.0007706694217998936,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x156_h85,P2,156.0,85.0,Upper height group (85–113 cm),160.4100557628568,-151.4100557628568,44.0,154.1556962832618,-145.1556962832618,44.0,1.79158716033213,0.43753276264033275,0.2360432686046937,0.0903679892406634,38.28450172498014,very high,0.0026925111157614728,0.0010308144645589821,1.7942796714478915,0.43753397692309803,0.001500608382632321,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
