point_name,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_gamma_flux [photon/cm2/s],u_mc_common_gamma_flux [photon/cm2/s],rel_u_mc_common_gamma_flux [%]
P3_x225_h45,278.25,0.0,4.0,8.0,0.03645216868063083,0.01035792368701165,28.41510961325991
P3_x300_h45,353.25,0.0,4.0,8.0,0.011302791782175902,0.0048609498815777455,43.006630355194986
P3_x0_h85,53.25,0.0,44.0,8.0,1.8216072467127362,0.13131614920477047,7.208806917173994
P3_x5_h85,58.25,0.0,44.0,8.0,1.535652158977999,0.10275946145101035,6.691584474403267
P3_x57_h85,110.25,0.0,44.0,8.0,0.36744010949035727,0.05561027135626716,15.134513059393297
P3_x100_h85,153.25,0.0,44.0,8.0,0.20737564888954624,0.031674252032389695,15.273853126921493
P3_x114_h85,167.25,0.0,44.0,8.0,0.21835174806320387,0.04325500923300555,19.80978380831877
P3_x176_h85,229.25,0.0,44.0,8.0,0.09295154810021496,0.025765846642019467,27.719653054342064
P3_x200_h85,253.25,0.0,44.0,8.0,0.09988044444056719,0.03004581527943346,30.08177971946441
P3_x225_h85,278.25,0.0,44.0,8.0,0.05938236833107253,0.019865895043516907,33.45419794097677
P3_x300_h85,353.25,0.0,44.0,8.0,0.02803639378089532,0.010280682454698348,36.66906141724923
P3_x400_h85,453.25,0.0,44.0,8.0,0.0246532329561851,0.011879277334037281,48.18547472110331
P4_x0_h42,50.10139789775538,41.10139789775538,1.0,8.0,0.345351830735437,0.027563183274820876,7.9811892747533015
P4_x20_h42,64.24353352148633,55.243533521486334,1.0,8.0,0.34422759773028844,0.05434890793672375,15.788655033785984
P4_x71_h42,100.30597936200024,91.30597936200024,1.0,8.0,0.18669595956552595,0.03461903212191266,18.54300018194137
P4_x85_h45,110.20547429861192,101.20547429861192,4.0,8.0,0.16214756766731517,0.02876755139243529,17.741586757230216
P4_x152_h113,157.5816286381106,148.5816286381106,72.0,8.0,0.07010168916512736,0.017679623296600028,25.21996760299878
P5_x0_h45,0.0,44.25,4.0,8.0,4.721151344864738,0.2656195434687184,5.626160316966675
P5_x6_h45,0.0,50.25,4.0,8.0,4.112713263929272,0.2783031318847019,6.766898493157096
