point_name,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_neutron_flux [n/cm2/s],u_mc_common_neutron_flux [n/cm2/s],rel_u_mc_common_neutron_flux [%]
P2_x114_h55,130.7115709530218,-121.7115709530218,14.0,8.0,6.779762167227062,0.8665791468115822,12.781851714512502
P2_x176_h55,174.55219138658774,-165.55219138658774,14.0,8.0,3.5366849170781567,0.6458018174137418,18.26008911043376
P2_x199_h55,190.81564735387835,-181.81564735387835,14.0,8.0,2.501531879883133,0.5229328684193761,20.904505460222502
P2_x321_h55,277.0826746586372,-268.0826746586372,14.0,8.0,1.5603041383475298,0.4834089661839484,30.981714032746975
P2_x420_h55,347.0862459961053,-338.0862459961053,14.0,8.0,0.5289106604197644,0.2527508978527011,47.78706816990756
P2_x0_h85,50.10139789775538,-41.10139789775538,44.0,8.0,15.46534892298021,1.3988909204329432,9.04532401693381
P2_x5_h85,53.63693180368812,-44.63693180368812,44.0,8.0,19.96004939213381,1.6500730471589722,8.266878577010237
P2_x30_h85,71.3146013333518,-62.3146013333518,44.0,8.0,13.817700820843054,1.2037544711434758,8.711684286344473
P2_x57_h85,90.40648442538858,-81.40648442538858,44.0,8.0,11.072489120661187,1.101465887550374,9.947771233254556
P2_x114_h85,130.7115709530218,-121.7115709530218,44.0,8.0,5.8225893974698195,0.8217050604465429,14.112364866456343
P2_x156_h85,160.4100557628568,-151.4100557628568,44.0,8.0,2.987303136173392,0.5699481915281713,19.0790209613026
P2_x176_h85,174.55219138658774,-165.55219138658774,44.0,8.0,2.831398987181942,0.5916063033664691,20.894487355711316
P2_x199_h85,190.81564735387835,-181.81564735387835,44.0,8.0,3.233317949474726,0.682113228021803,21.096385777112232
P2_x300_h85,262.2334322537196,-253.23343225371963,44.0,8.0,1.6443236168900415,0.4644919512394066,28.248207741363842
P2_x321_h85,277.0826746586372,-268.0826746586372,44.0,8.0,1.469924142939822,0.4058679273071719,27.611487929944694
P3_x0_h45,53.25,0.0,4.0,8.0,100.26837729685688,3.3915851601705445,3.3825072785703303
P3_x5_h45,58.25,0.0,4.0,8.0,87.29276538697543,3.092932682758187,3.5431718413856896
P3_x57_h45,110.25,0.0,4.0,8.0,17.40668554718224,1.5674513080649306,9.004880933916029
P3_x114_h45,167.25,0.0,4.0,8.0,6.303312728787816,0.7698995604160809,12.214205347925668
P3_x176_h45,229.25,0.0,4.0,8.0,4.428543306599118,0.7768557728555078,17.542015942305216
P3_x199_h45,252.25,0.0,4.0,8.0,2.3466590806360337,0.5235553847996243,22.3106709074128
P3_x225_h45,278.25,0.0,4.0,8.0,1.676448433231045,0.46231081410050917,27.576798960018735
P3_x300_h45,353.25,0.0,4.0,8.0,0.7308364288190238,0.30548379603060966,41.799202117531046
P3_x0_h85,53.25,0.0,44.0,8.0,40.52764271379322,2.2435564614375423,5.535867154380455
P3_x5_h85,58.25,0.0,44.0,8.0,37.20530813258706,2.095469663694141,5.632179301476553
P3_x57_h85,110.25,0.0,44.0,8.0,12.772310817205653,1.304655949052543,10.214721264808505
P3_x100_h85,153.25,0.0,44.0,8.0,5.610482686047049,0.814292646790148,14.513771672716281
P3_x114_h85,167.25,0.0,44.0,8.0,6.4731324604099605,0.8741369481393062,13.504079415732283
P3_x176_h85,229.25,0.0,44.0,8.0,2.511097762886324,0.578278265750296,23.028902908407964
P3_x200_h85,253.25,0.0,44.0,8.0,2.3292557888355314,0.5361390735733746,23.017612584378615
P3_x225_h85,278.25,0.0,44.0,8.0,1.6675351956786801,0.4519697639063562,27.10406143616095
P3_x300_h85,353.25,0.0,44.0,8.0,1.3859661915981791,0.4074167701194644,29.395866406356262
P3_x400_h85,453.25,0.0,44.0,8.0,0.6565738566026325,0.2919313902625898,44.46284105388477
P4_x0_h42,50.10139789775538,41.10139789775538,1.0,8.0,32.729372198173195,2.1416986420034814,6.543659404878598
P4_x20_h42,64.24353352148633,55.243533521486334,1.0,8.0,21.950270755258426,1.737080335917493,7.913708014291151
P4_x71_h42,100.30597936200024,91.30597936200024,1.0,8.0,10.046046926555453,1.1189354428745577,11.138067053188786
P4_x85_h45,110.20547429861192,101.20547429861192,4.0,8.0,8.831310510236937,1.0803617856683208,12.233312195466395
P4_x152_h113,157.5816286381106,148.5816286381106,72.0,8.0,4.282541629262736,0.720222837428094,16.817649418905578
P5_x0_h45,0.0,44.25,4.0,8.0,147.92751822613718,4.285400706054697,2.8969597796561377
P5_x6_h45,0.0,50.25,4.0,8.0,122.73839046290328,4.008211404037884,3.265654200711826
P5_x0_h85,0.0,44.25,44.0,8.0,57.48851434847041,2.7837433220274472,4.84225997762545
P5_x6_h85,0.0,50.25,44.0,8.0,51.0757983151854,2.487330290830636,4.869880399091334
