tally_name,mean_per_source,std_dev_per_source,relative_error,relative_error_percent,target_reached
gamma_dose_P2_x321_h85,1.591744906615592e-07,6.944261830355713e-08,0.4362672562352203,43.62672562352203,True
gamma_dose_P3_x0_h45,1.280486854928362e-05,1.3776106384951047e-06,0.10758491062933843,10.758491062933844,True
gamma_dose_P3_x5_h45,1.1347596922730163e-05,1.2895140441702646e-06,0.11363763208642552,11.363763208642553,True
gamma_dose_P3_x57_h45,2.103488598570161e-06,4.6817239909215995e-07,0.22256949688740815,22.256949688740814,True
gamma_dose_P3_x114_h45,7.674770313198137e-07,2.154187027095555e-07,0.28068423407942855,28.068423407942856,True
gamma_dose_P3_x176_h45,5.616132488564635e-07,1.2967747953437982e-07,0.2309017456379891,23.09017456379891,True
gamma_dose_P3_x199_h45,1.2662937932650564e-07,6.352426002862663e-08,0.5016549900701435,50.16549900701435,True
gamma_dose_P3_x225_h45,1.5905920681382285e-07,5.8277974924814506e-08,0.3663917109370995,36.63917109370995,True
gamma_dose_P3_x300_h45,4.67998494403114e-08,2.2971911687047545e-08,0.49085439294726696,49.0854392947267,True
gamma_dose_P3_x0_h85,1.1509817770300101e-05,1.1538839078131256e-06,0.10025214393842134,10.025214393842134,True
gamma_dose_P3_x5_h85,9.615928359231468e-06,8.774963984811081e-07,0.0912544650604323,9.12544650604323,True
gamma_dose_P3_x57_h85,2.090712033275515e-06,4.792365453851872e-07,0.2292216899112443,22.92216899112443,True
gamma_dose_P3_x100_h85,1.1976607331519653e-06,2.015869273074614e-07,0.16831722183704845,16.831722183704844,True
gamma_dose_P3_x114_h85,1.6105602781178665e-06,4.2082108381492335e-07,0.2612886270277964,26.128862702779642,True
gamma_dose_P3_x176_h85,6.848223429412649e-07,2.8444848554235334e-07,0.41536098883787387,41.53609888378739,True
gamma_dose_P3_x200_h85,9.095200616043959e-07,3.4986155668743406e-07,0.38466612387887006,38.466612387887004,True
gamma_dose_P3_x225_h85,4.5382116659049707e-07,2.2120365370565154e-07,0.487424717025712,48.7424717025712,True
gamma_dose_P3_x300_h85,2.0861772782731964e-07,9.227436554970384e-08,0.44231315579317704,44.2313155793177,True
gamma_dose_P3_x400_h85,1.16472203547009e-07,6.804493003189776e-08,0.5842160443408658,58.42160443408658,True
gamma_dose_P4_x0_h42,1.8073721833894158e-06,1.9695195394243159e-07,0.10897144249120956,10.897144249120956,True
gamma_dose_P4_x20_h42,1.6116916250493343e-06,2.4052608702866163e-07,0.14923828063032782,14.923828063032781,True
gamma_dose_P4_x71_h42,7.899172534677062e-07,1.4671783570693347e-07,0.1857382340528047,18.57382340528047,True
gamma_dose_P4_x85_h45,7.609870778653845e-07,1.3727611713694084e-07,0.1803921789605269,18.03921789605269,True
gamma_dose_P4_x152_h113,3.687449273650117e-07,1.435553005990778e-07,0.3893078655343125,38.930786553431254,True
gamma_dose_P5_x0_h45,2.951472744717888e-05,2.6209733850118922e-06,0.08880222220254363,8.880222220254364,True
gamma_dose_P5_x6_h45,2.608094146944193e-05,2.8081837191869846e-06,0.10767186922593378,10.767186922593378,True
gamma_dose_P5_x0_h85,3.119957490634543e-05,2.0198138022061674e-06,0.06473850391453166,6.473850391453166,True
gamma_dose_P5_x6_h85,2.469499634585253e-05,1.4971590307614785e-06,0.06062600738197408,6.062600738197408,True
common_gamma_flux_P1_x0_h42,4.734924984935848e-05,2.413836730171825e-06,0.050979408076187914,5.097940807618792,True
common_gamma_flux_P1_x4_h42,3.783413001152831e-05,1.967086669905744e-06,0.0519923854283516,5.19923854283516,True
common_gamma_flux_P1_x57_h42,7.77519257005411e-06,9.012988534258941e-07,0.11591981102786007,11.591981102786008,True
common_gamma_flux_P1_x114_h42,3.165777640881181e-06,6.09935543782642e-07,0.19266531417312965,19.266531417312965,True
common_gamma_flux_P1_x176_h42,9.403959030498615e-07,2.776015726438892e-07,0.2951964930340304,29.51964930340304,True
common_gamma_flux_P1_x199_h42,7.83894245344883e-07,2.707916460746372e-07,0.3454441050980026,34.54441050980026,True
common_gamma_flux_P1_x320_h42,3.3531326265795177e-07,1.8892606164875258e-07,0.5634315211727051,56.34315211727051,True
common_gamma_flux_P1_x420_h42,2.949646065718446e-07,1.6025836767035848e-07,0.5433138895304183,54.331388953041824,True
common_gamma_flux_P1_x0_h85,6.634454421342227e-06,6.199083814849739e-07,0.09343773309992222,9.343773309992223,True
common_gamma_flux_P1_x4_h85,7.234344697898328e-06,6.969558934176817e-07,0.09633987907987804,9.633987907987803,True
common_gamma_flux_P1_x7_h85,7.348414223106708e-06,6.719815422690297e-07,0.09144578978087796,9.144578978087797,True
common_gamma_flux_P1_x57_h85,4.00511695390498e-06,5.675121103450396e-07,0.14169676363425954,14.169676363425953,True
common_gamma_flux_P1_x114_h85,2.8046211065608043e-06,5.025613990973354e-07,0.17919047885709116,17.919047885709116,True
common_gamma_flux_P1_x176_h85,7.80533204956596e-07,2.2525366142240263e-07,0.28858946677986436,28.858946677986435,True
common_gamma_flux_P1_x199_h85,1.0583314890212947e-06,3.319313051925824e-07,0.31363642548285137,31.363642548285135,True
common_gamma_flux_P1_x320_h85,5.530598796680023e-07,2.5084935600975374e-07,0.45356635914421556,45.35663591442155,True
common_gamma_flux_P1_x420_h85,4.2924456808044843e-07,2.1422432042056864e-07,0.4990728744188069,49.90728744188069,True
common_gamma_flux_P2_x2_h55,1.501892676134812e-06,2.2339860276391436e-07,0.14874471812382803,14.874471812382803,True
