position,point_name,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,tally_name,detector_volume_cm3,neutron_dose_per_source [pSv/source],u_mc_neutron_dose_per_source [pSv/source],neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],rel_u_mc_neutron_dose_rate [%],neutron_dose_mc_uncertainty_class
P1,P1_x176_h85,176.0,85.0,0.0,-220.25,44.0,neutron_dose_P1_x176_h85,8.0,9.286576015095005e-05,2.0554125485017973e-05,3.657571823197323,0.8095361530693792,22.13315806773989,high
P1,P1_x199_h85,199.0,85.0,0.0,-243.25,44.0,neutron_dose_P1_x199_h85,8.0,0.00011029490039406037,2.1566162483116527e-05,4.344028620106476,0.8493958171938278,19.553181884262273,high
P1,P1_x320_h85,320.0,85.0,0.0,-364.25,44.0,neutron_dose_P1_x320_h85,8.0,4.388935702039772e-05,1.4334506893351605e-05,1.7286077808992346,0.5645728676244971,32.66055341546606,very high
P1,P1_x420_h85,420.0,85.0,0.0,-464.25,44.0,neutron_dose_P1_x420_h85,8.0,2.7875988271891883e-05,9.474406243862507e-06,1.0979119654146041,0.3731549848162393,33.98769633367871,very high
P2,P2_x2_h55,2.0,55.0,51.51561146012848,-42.51561146012848,14.0,neutron_dose_P2_x2_h55,8.0,0.000372063093489557,2.898050407546826e-05,14.653920723709417,1.1414139609280256,7.789136999228245,moderate
P2,P2_x57_h55,57.0,55.0,90.40648442538858,-81.40648442538858,14.0,neutron_dose_P2_x57_h55,8.0,0.00020502061376364948,2.5916064268717464e-05,8.07485577954292,1.0207192218461822,12.640711484062697,high
P2,P2_x114_h55,114.0,55.0,130.7115709530218,-121.7115709530218,14.0,neutron_dose_P2_x114_h55,8.0,0.00011054647360478554,1.9167430308004467e-05,4.353936976916607,0.754920359276662,17.338798500737262,high
P2,P2_x176_h55,176.0,55.0,174.55219138658774,-165.55219138658774,14.0,neutron_dose_P2_x176_h55,8.0,4.8823182123617785e-05,1.1738893966652205e-05,1.922929344075894,0.4623431471205043,24.043688788923934,high
P2,P2_x199_h55,199.0,55.0,190.81564735387835,-181.81564735387835,14.0,neutron_dose_P2_x199_h55,8.0,5.297205976671717e-05,1.3741907871483604e-05,2.0863352962872095,0.5412330114566745,25.941803909459775,very high
P2,P2_x321_h55,321.0,55.0,277.0826746586372,-268.0826746586372,14.0,neutron_dose_P2_x321_h55,8.0,1.9269622592287263e-05,9.137891954589541e-06,0.7589452616619261,0.3599011743639542,47.421229506835374,very high
P2,P2_x420_h55,420.0,55.0,347.0862459961053,-338.0862459961053,14.0,neutron_dose_P2_x420_h55,8.0,8.467689554881697e-06,3.964908542498368e-06,0.3335048641520298,0.15616022248699632,46.82397148360929,very high
P2,P2_x0_h85,0.0,85.0,50.10139789775538,-41.10139789775538,44.0,neutron_dose_P2_x0_h85,8.0,0.00021137502734700265,2.6090753277473122e-05,8.32512804391287,1.0275994497709675,12.343347085482044,high
P2,P2_x5_h85,5.0,85.0,53.63693180368812,-44.63693180368812,44.0,neutron_dose_P2_x5_h85,8.0,0.0002850058490301926,3.010044606360128e-05,11.225120659808633,1.185523525666984,10.561343272787546,high
P2,P2_x30_h85,30.0,85.0,71.3146013333518,-62.3146013333518,44.0,neutron_dose_P2_x30_h85,8.0,0.00021592655700896122,2.6299806813006575e-05,8.504392679414336,1.0358331445134006,12.179977848632625,high
P2,P2_x57_h85,57.0,85.0,90.40648442538858,-81.40648442538858,44.0,neutron_dose_P2_x57_h85,8.0,0.00015652954602994877,2.072795981456731e-05,6.165006953331356,0.8163827189579324,13.242202728040517,high
P2,P2_x114_h85,114.0,85.0,130.7115709530218,-121.7115709530218,44.0,neutron_dose_P2_x114_h85,8.0,8.034794657446473e-05,1.5657499223873747e-05,3.1645504754910427,0.6166796878622083,19.487118080065326,high
P2,P2_x156_h85,156.0,85.0,160.4100557628568,-151.4100557628568,44.0,neutron_dose_P2_x156_h85,8.0,4.5488403663248954e-05,1.1108958226285975e-05,1.79158716033213,0.43753276264033275,24.42151698381348,high
P2,P2_x176_h85,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,neutron_dose_P2_x176_h85,8.0,4.116715238017934e-05,1.0884067250788235e-05,1.6213921723384952,0.42867530113961533,26.438717816266944,very high
P2,P2_x199_h85,199.0,85.0,190.81564735387835,-181.81564735387835,44.0,neutron_dose_P2_x199_h85,8.0,5.613463143693409e-05,1.3818825025903725e-05,2.210895015725517,0.5442624381933991,24.617290026084593,high
P2,P2_x300_h85,300.0,85.0,262.2334322537196,-253.23343225371963,44.0,neutron_dose_P2_x300_h85,8.0,1.9470276648388973e-05,8.272915694533977e-06,0.766848138035467,0.3258335826986156,42.48997507294537,very high
P2,P2_x321_h85,321.0,85.0,277.0826746586372,-268.0826746586372,44.0,neutron_dose_P2_x321_h85,8.0,1.9449125076657022e-05,8.35918882158292e-06,0.7660150711154594,0.32923149984353994,42.97976792599108,very high
P3,P3_x0_h45,0.0,45.0,53.25,0.0,4.0,neutron_dose_P3_x0_h45,8.0,0.0014733890604567688,6.136799177932263e-05,58.0302826722592,2.4170139480192385,4.165090771089192,low
P3,P3_x5_h45,5.0,45.0,58.25,0.0,4.0,neutron_dose_P3_x5_h45,8.0,0.0012996305279624506,6.540168414952777e-05,51.186702094678225,2.5758832614532423,5.032329015236658,moderate
P3,P3_x57_h45,57.0,45.0,110.25,0.0,4.0,neutron_dose_P3_x57_h45,8.0,0.00026492980549735297,2.9481677018715806e-05,10.434414041700517,1.1611529479647063,11.128108807300796,high
P3,P3_x114_h45,114.0,45.0,167.25,0.0,4.0,neutron_dose_P3_x114_h45,8.0,9.522354677402007e-05,1.4672413827397601e-05,3.75043461679999,0.5778815281988648,15.408388286793674,high
P3,P3_x176_h45,176.0,45.0,229.25,0.0,4.0,neutron_dose_P3_x176_h45,8.0,6.857798596434607e-05,1.6337298066339256e-05,2.7009837505997916,0.6434539595378229,23.822948190448567,high
P3,P3_x199_h45,199.0,45.0,252.25,0.0,4.0,neutron_dose_P3_x199_h45,8.0,3.754759757608182e-05,1.0500875834557407e-05,1.4788339071343297,0.413583084970612,27.96683812667302,very high
P3,P3_x225_h45,225.0,45.0,278.25,0.0,4.0,neutron_dose_P3_x225_h45,8.0,1.6241104567084652e-05,5.543458863067213e-06,0.6396653227800286,0.21833234237948226,34.13227739634144,very high
P3,P3_x300_h45,300.0,45.0,353.25,0.0,4.0,neutron_dose_P3_x300_h45,8.0,9.691547544626063e-06,4.668041785689883e-06,0.3817072208829473,0.18385353306853178,48.166113452936614,very high
P3,P3_x0_h85,0.0,85.0,53.25,0.0,44.0,neutron_dose_P3_x0_h85,8.0,0.000558811045456692,4.106509299972484e-05,22.009097120742467,1.6173725044475893,7.348654493070036,moderate
P3,P3_x5_h85,5.0,85.0,58.25,0.0,44.0,neutron_dose_P3_x5_h85,8.0,0.0004991233030240592,3.804705468095604e-05,19.6582607677422,1.4985053148815364,7.622776666695136,moderate
