scenario,particle,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,leakage_rate_per_s,leakage_std_per_s,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,relative_uncertainty_percent
full_geometry,neutron,173780.08287493835,383118.6849557293,258027.89931041183,209338.60208079094,0.34333333333333194,1133198.7999762006,682.3125066682003,3300579.029056908,1987.3179805869993,0.060211192129971385
full_geometry,neutron,383118.6849557293,844630.3185839704,568852.9308438424,461511.63362824114,0.3433333333333337,1097261.5999817124,675.238271855206,3195907.572762266,1966.7134131705006,0.06153849472782606
full_geometry,neutron,844630.3185839704,1862087.1366628727,1254103.3655447527,1017456.8180789023,0.3433333333333336,668921.199985181,534.5018591942875,1948314.1747141178,1556.8015316338458,0.07990505596266476
full_geometry,neutron,1862087.1366628727,4105190.671273096,2764818.754010117,2243103.534610223,0.3433333333333339,234734.80000000002,305.88180374048534,683693.5922330087,890.917874972286,0.13030952536244533
full_geometry,neutron,4105190.671273096,9050376.921517164,6095368.972401719,4945186.250244068,0.3433333333333336,136330.80000000002,236.27458772089187,397079.99999999977,688.1784108375487,0.17330976398648862
full_geometry,neutron,9050376.921517164,19952623.149688788,13437959.669446567,10902246.228171624,0.34333333333333116,13473.600000000006,72.02233024216646,39243.495145631336,209.77377740436967,0.5345440731665363
full_geometry,photon,1000.0,1485.9356422870076,1218.9895989248669,485.93564228700757,0.17200000000000018,0.0,0.0,0.0,0.0,
full_geometry,photon,1485.9356422870076,2208.004733018899,1811.3400926196027,722.0690907318915,0.17199999999999965,0.521718092262909,0.368910400906812,3.0332447224587793,2.1448279122489113,70.7106781186548
full_geometry,photon,2208.004733018899,3280.9529311311903,2691.534803926915,1072.9481981122913,0.17200000000000018,0.521718092262909,0.368910400906812,3.03324472245877,2.1448279122489047,70.7106781186548
full_geometry,photon,3280.9529311311903,4875.2849010338605,3999.4474976109736,1594.3319699026702,0.17199999999999974,1.3042952306572726,0.583298559695686,7.583111806146945,3.391270695905156,44.7213595499958
full_geometry,photon,4875.2849010338605,7244.359600749898,5942.921586155723,2369.0746997160377,0.17200000000000013,10.43436184525818,1.7649821030411437,60.66489444917543,10.261523854890363,16.915093890894983
full_geometry,photon,7244.359600749898,10764.65213629835,8830.799004185626,3520.2925355484513,0.17200000000000018,13.825529444967092,1.963192599298134,80.38098514515742,11.413910461035652,14.199764335338312
full_geometry,photon,10764.65213629835,15995.580286146678,13121.998990192027,5230.928149848329,0.17199999999999965,34.69425313548346,3.150924722264663,201.71077404350888,18.319329780608545,9.08197882214119
full_geometry,photon,15995.580286146678,23768.402866248736,19498.445997580435,7772.822580102058,0.17199999999999974,61.04101679476038,4.021961483737397,354.8896325276772,23.383496998473273,6.588949029568971
full_geometry,photon,23768.402866248736,35318.3169791957,28973.435877013213,11549.91411294696,0.17200000000000057,111.90853079039404,5.761557507880185,650.6309929674051,33.49742737139631,5.148452461297744
full_geometry,photon,35318.3169791957,52480.74602497723,43052.66104917105,17162.42904578153,0.17199999999999974,235.81657770283513,8.403681667683825,1371.0266145513692,48.85861434699906,3.563651779508795
full_geometry,photon,52480.74602497723,77983.01105232578,63973.483548264754,25502.26502734855,0.17199999999999974,773.7079308258956,15.804346009905178,4498.301923406377,91.88573261572792,2.0426759737404794
full_geometry,photon,77983.01105232578,115877.73561551262,95060.4793656281,37894.72456318684,0.17200000000000057,4645.638752555071,38.071312707349236,27009.527631134042,221.34484132179716,0.8195065250480413
full_geometry,photon,115877.73561551262,172186.8574986006,141253.7544622754,56309.121883087995,0.17199999999999974,17327.822998328003,71.98314901279342,100743.15696702343,418.50668030693913,0.41541946163542426
full_geometry,photon,172186.8574986006,255858.58869056427,209893.98836235225,83671.73119196366,0.17199999999999974,30001.398895578594,91.85131637602498,174426.73776499208,534.01928125596,0.30615677854128803
full_geometry,photon,255858.58869056427,380189.3963205613,311888.95840939356,124330.80762999703,0.17200000000000065,37683.69780414994,100.98737277784772,219091.2663031965,587.1358882432985,0.2679868979490819
