scenario,particle,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,leakage_rate_per_s,leakage_std_per_s,source_strength_per_s,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,fraction_of_particle_leakage
full_geometry,neutron,2.7122725793320295,3.304963493642342,2.993987618461291,0.5926909143103125,0.08583333333333343,3441.5999999999967,39.149281228852566,12000000.0,40096.31067961157,456.1081308215828,0.0007243333317536263
full_geometry,neutron,3.304963493642342,4.027170343254594,3.648239433909942,0.7222068496122525,0.08583333333333343,3705.1999999999985,41.57752801839464,12000000.0,43167.37864077663,484.39838468032536,0.0007798116750388009
full_geometry,neutron,4.027170343254594,4.907195194375853,4.445459588766036,0.8800248511212585,0.08583333333333343,3924.7999999999984,40.861413546974234,12000000.0,45725.825242718376,476.0553034598935,0.000826029596834796
full_geometry,neutron,4.907195194375853,5.979524734045527,5.416889793927855,1.0723295396696741,0.08583333333333343,4160.399999999998,42.5292470681917,12000000.0,48470.679611650405,495.4863736099999,0.0008756149446268562
full_geometry,neutron,5.979524734045527,7.286181745132289,6.60059875782262,1.3066570110867621,0.08583333333333343,4413.999999999999,44.033474648636286,12000000.0,51425.242718446534,513.0113551297426,0.00092898864666449
full_geometry,neutron,7.286181745132289,8.878371908193657,8.042974034769474,1.5921901630613675,0.08583333333333298,4602.799999999999,44.33980673772101,12000000.0,53624.85436893225,516.58027267248,0.0009687242734180595
full_geometry,neutron,8.878371908193657,10.818490465580783,9.800539874857575,1.9401185573871267,0.08583333333333387,4802.799999999999,46.70659289006189,12000000.0,55954.95145631032,544.1544802725623,0.0010108170983688747
full_geometry,neutron,10.818490465580783,13.1825673855641,11.942172313804612,2.364076919983317,0.08583333333333343,5070.4,47.46377178551042,12000000.0,59072.62135922323,552.975981967111,0.0010671372981530655
full_geometry,neutron,13.1825673855641,16.06324684833086,14.551798308424692,2.880679462766759,0.08583333333333254,5056.799999999999,48.14897728278251,12000000.0,58914.17475728209,560.9589586343645,0.00106427498605641
full_geometry,neutron,16.06324684833086,19.573417814876617,17.731684692264295,3.5101709665457577,0.08583333333333343,5186.799999999998,48.39568791427232,12000000.0,60428.737864077586,563.8332572536575,0.0010916353222744396
full_geometry,neutron,19.573417814876617,23.850637954651077,21.606445840020513,4.27722013977446,0.08583333333333343,5319.200000000001,49.389790828946225,12000000.0,61971.26213592227,575.4150387838389,0.0011195007723918797
full_geometry,neutron,23.850637954651077,29.06252429820869,26.327927094338918,5.211886343557612,0.08583333333333343,5436.4,50.754842594798106,12000000.0,63336.69902912614,591.3185545025016,0.001144167167813057
full_geometry,neutron,29.06252429820869,35.41332186543297,32.0811553282364,6.35079756722428,0.08583333333333343,5515.199999999996,51.6339366247746,12000000.0,64254.757281553284,601.5604266964024,0.0011607517408436777
full_geometry,neutron,35.41332186543297,43.15190768277659,39.09158983563622,7.738585817343619,0.08583333333333343,5681.6,51.30697436732237,12000000.0,66193.39805825237,597.7511576775415,0.0011957729712027566
full_geometry,neutron,43.15190768277659,52.58154385342938,47.63395770016442,9.429636170652792,0.08583333333333343,5599.599999999999,48.041158496636804,12000000.0,65238.05825242711,559.7028174365447,0.0011785149129729222
full_geometry,neutron,52.58154385342938,64.07176188675551,58.043019885382606,11.49021803332613,0.08583333333333343,5649.599999999999,51.36322227047943,12000000.0,65820.58252427177,598.4064730541287,0.001189038119210626
full_geometry,neutron,64.07176188675551,78.07284401379086,70.72668995134308,14.001082127035346,0.08583333333333343,5667.199999999999,49.67086317781695,12000000.0,66025.63106796108,578.6896680910706,0.0011927422878062976
full_geometry,neutron,78.07284401379086,95.13346898708764,86.18201949780304,17.060624973296783,0.08583333333333343,5893.600000000001,51.01073924571779,12000000.0,68663.30097087372,594.299874707391,0.0012403913656506209
full_geometry,neutron,95.13346898708764,115.92221387398774,105.01467677660848,20.788744886900105,0.08583333333333254,5893.999999999998,51.58407884837569,12000000.0,68667.96116504916,600.9795593985573,0.001240475551300522
full_geometry,neutron,115.92221387398774,141.25375446227554,127.96268180715678,25.331540588287794,0.08583333333333343,6008.0,52.57955399513905,12000000.0,69996.11650485429,612.5773280987067,0.0012644684615224868
full_geometry,neutron,141.25375446227554,172.12079102783665,155.92532813400996,30.867036565561108,0.08583333333333343,6219.599996519999,51.01786688331294,12000000.0,72461.3591827572,594.3829151453929,0.001309002669588034
full_geometry,neutron,172.12079102783665,209.7329505812199,189.99842462147348,37.612159553383265,0.08583333333333343,6048.000000000003,51.45534154889097,12000000.0,70462.13592233005,599.4797073657194,0.0012728870265126505
full_geometry,neutron,209.7329505812199,255.56419010641423,231.51723835152765,45.83123952519432,0.08583333333333343,6331.999999482802,51.743840372555596,12000000.0,73770.87378038208,602.8408587093849,0.0013326588378339559
full_geometry,neutron,255.56419010641423,311.41055844467644,282.10882148472405,55.84636833826221,0.08583333333333343,6382.799999999999,52.999920489622845,12000000.0,74362.71844660185,617.474801820848,0.0013433504154803143
full_geometry,neutron,311.41055844467644,379.4605804140449,343.7557726853162,68.05002196936846,0.08583333333333343,6708.000000000001,56.806387129697626,12000000.0,78151.45631067954,661.821985977059,0.00141179334885034
full_geometry,neutron,379.4605804140449,462.3810213992613,418.8739318131442,82.92044098521637,0.08583333333333343,6832.4000000000015,55.09451896574516,12000000.0,79600.77669902905,641.8778908630497,0.0014379750859697471
full_geometry,neutron,462.3810213992613,563.4213933814742,510.40705260597747,101.04037198221295,0.08583333333333343,7238.399999999997,56.87317346105988,12000000.0,84330.87378640764,662.6000791579784,0.001523423520619901
full_geometry,neutron,563.4213933814742,686.5412978224565,621.9421634147777,123.11990444098228,0.08583333333333343,7632.000000000002,56.00563755665205,12000000.0,88916.50485436886,652.492864737693,0.0016062622001231062
full_geometry,neutron,686.5412978224565,836.5655957558124,757.8501367841877,150.0242979333559,0.08583333333333343,8082.000000000002,61.294089039405456,12000000.0,94159.22330097079,714.1058917212279,0.0017009710562624404
