scenario,particle,side,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,leakage_rate_per_s,leakage_std_per_s,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,relative_uncertainty_percent
full_geometry,neutron,x_min,2.712272579332029,5.979524734045527,4.027170343254594,3.267252154713498,0.34333333333333377,3269.5999999999985,38.251258750355085,9523.106796116488,111.41143325346127,1.1699063723499847
full_geometry,neutron,x_min,5.979524734045527,13.1825673855641,8.878371908193666,7.203042651518573,0.3433333333333337,4169.599999999999,43.481961046563136,12144.466019417461,126.64648848513521,1.0428329107483485
full_geometry,neutron,x_min,13.1825673855641,29.06252429820869,19.57341781487664,15.87995691264459,0.3433333333333329,4580.4000000000015,47.09031527439711,13340.97087378643,137.15625808076848,1.0280830336738516
full_geometry,neutron,x_min,29.06252429820869,64.07176188675551,43.151907682776596,35.009237588546824,0.3433333333333337,4872.8,48.453145315550806,14192.621359223285,141.12566596762355,0.9943594096936219
full_geometry,neutron,x_min,64.07176188675551,141.25375446227554,95.13346898708754,77.18199257552003,0.3433333333333327,5140.800000000002,49.6178735732033,14973.203883495178,144.51807836855355,0.9651780573685667
full_geometry,neutron,x_min,141.25375446227554,311.41055844467644,209.7329505812199,170.1568039824009,0.3433333333333337,5417.199998667601,48.29897413193049,15778.252423303675,140.6766236852343,0.8915855819207333
full_geometry,neutron,x_min,311.41055844467644,686.5412978224565,462.3810213992613,375.13073937778006,0.34333333333333377,6221.599999999999,53.062799924108454,18121.165048543666,154.55184443915064,0.8528802868089955
full_geometry,neutron,x_min,686.5412978224565,1513.5612484362102,1019.3734859388748,827.0199506137537,0.3433333333333328,7942.000000000002,62.11213508175921,23132.038834951494,180.90913130609508,0.7820717084079476
full_geometry,neutron,x_min,1513.5612484362102,3336.8242522829496,2247.3290549222215,1823.2630038467394,0.34333333333333377,11940.400000000001,74.83389499060576,34777.86407766987,217.96280094351164,0.6267285433537046
full_geometry,neutron,x_min,3336.8242522829496,7356.422544596421,4954.501908047911,4019.5982923134716,0.3433333333333328,11934.400000000001,69.55627735196678,34760.38834951462,202.5910990833987,0.5828217367606815
full_geometry,neutron,x_min,7356.422544596421,16218.100973589331,10922.783694308595,8861.67842899291,0.3433333333333337,15215.2,88.33356664742888,44316.11650485432,257.28223295367604,0.5805613245138341
