scenario,particle,side,tally_name,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,raw_current_per_source,std_current_per_source,outward_current_per_source,leakage_rate_per_s,leakage_std_per_s,rel_unc_percent,source_strength_per_s,normal_flip_applied,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,energy_group
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.007216611620833884,0.0087935991892544,0.00796617788516731,0.0015769875684205157,0.08583333333333343,3.3333333333333334e-08,3.333333333333334e-08,3.3333333333333334e-08,0.4,0.4000000000000001,100.00000000000001,12000000.0,False,4.660194174757277,4.660194174757278,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.0087935991892544,0.01071519305237607,0.009706962085950403,0.0019215938631216706,0.08583333333333343,3.3333333333333334e-08,3.333333333333334e-08,3.3333333333333334e-08,0.4,0.4000000000000001,100.00000000000001,12000000.0,False,4.660194174757277,4.660194174757278,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.01071519305237607,0.01305669722700011,0.011828145730152697,0.0023415041746240404,0.0858333333333332,6.666666666666667e-08,4.70615558697011e-08,6.666666666666667e-08,0.8,0.5647386704364132,70.59233380455164,12000000.0,False,9.320388349514577,6.579479655569873,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.01305669722700011,0.01590987130556173,0.01441285442087224,0.0028531740785616207,0.08583333333333343,1.0000000000000001e-07,5.754160919975787e-08,1.0000000000000001e-07,1.2000000000000002,0.6904993103970944,57.541609199757865,12000000.0,False,13.980582524271831,8.04465215996614,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.01590987130556173,0.019386526359522076,0.01756237852461552,0.0034766550539603452,0.0858333333333332,1.3333333333333334e-07,6.633137535414969e-08,1.3333333333333334e-07,1.6,0.7959765042497963,49.74853151561227,12000000.0,False,18.640776699029153,9.273512670871426,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.019386526359522076,0.023622906626344628,0.02140014256962226,0.0042363802668225516,0.08583333333333343,6.666666666666667e-08,8.169515804508793e-08,6.666666666666667e-08,0.8,0.9803418965410552,122.54273706763189,12000000.0,False,9.320388349514554,11.421458988827816,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.023622906626344628,0.02878502869096524,0.026076542044591016,0.005162122064620613,0.08583333333333343,3.0000000000000004e-07,1.2814602874172207e-07,3.0000000000000004e-07,3.6000000000000005,1.5377523449006647,42.71534291390735,12000000.0,False,41.941747572815494,17.91556129981355,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.02878502869096524,0.035075187395256814,0.031774837143775415,0.0062901587042915735,0.0858333333333332,4.0000000000000003e-07,1.3153751621375323e-07,4.0000000000000003e-07,4.800000000000001,1.5784501945650387,32.8843790534383,12000000.0,False,55.92233009708747,18.389711004641253,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.035075187395256814,0.04273988343108817,0.038718334424363475,0.007664696035831357,0.08583333333333343,8.333333333333333e-07,1.7322653428775062e-07,8.333333333333333e-07,10.0,2.0787184114530075,20.787184114530074,12000000.0,False,116.50485436893192,24.218078580035012,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.04273988343108817,0.05207948328595465,0.04717913781315854,0.00933959985486648,0.0858333333333332,1.1666666666666674e-06,2.1357671456953675e-07,1.1666666666666674e-06,14.000000000000009,2.562920574834441,18.30657553453171,12000000.0,False,163.1067961165052,29.859268833022657,thermal
