position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,tally_name,transport_group,statepoint_file,detector_model,detector_shape,tally_implementation,detector_effective_diameter_cm,detector_effective_length_cm,detector_volume_cm3,reference_offset_cm,gamma_flux_per_source [photon/cm2/source photon],u_mc_per_source [photon/cm2/source photon],gamma_flux_physical [photon/cm2/s],u_mc_physical [photon/cm2/s],rel_u_mc [%],mc_uncertainty_class
P2,P2_x176_h55,176.0,55.0,168.29783190699274,-159.29783190699274,14.0,166.95079348883237,-157.95079348883237,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x176_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.032341676726671e-08,1.8407019909737542e-08,0.21633561747459293,0.13132075612068747,60.70232800944586,very high
P2,P2_x199_h55,199.0,55.0,184.56128787428332,-175.56128787428332,14.0,183.21424945612296,-174.21424945612296,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x199_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.561826598430448e-08,1.4174314412544746e-08,0.25411053194396854,0.10112346785494811,39.79507149166327,very high
P2,P2_x321_h55,321.0,55.0,270.82831517904214,-261.82831517904214,14.0,269.48127676088177,-260.48127676088177,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x321_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.256527355697353e-08,1.327210969353675e-08,0.16098688435732622,0.09468689058949374,58.816524692363686,very high
P2,P2_x420_h55,420.0,55.0,340.83188651651034,-331.83188651651034,14.0,339.48484809834997,-330.48484809834997,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x420_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,7.198466381197645e-09,3.009616322769265e-09,0.051355844277005645,0.021471432805380077,41.80913215946061,very high
P2,P2_x0_h85,0.0,85.0,43.84703841816037,-34.84703841816037,44.0,42.5,-33.5,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x0_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,9.92360510132867e-08,6.804354473054805e-09,0.707977354150737,0.0485441412404861,6.8567364416221785,moderate
P2,P2_x5_h85,5.0,85.0,47.38257232409311,-38.38257232409311,44.0,46.03553390593274,-37.03553390593274,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x5_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.3165891971046855e-07,1.1232915071914045e-08,0.9392910406570065,0.08013871381227032,8.531829895472615,moderate
P2,P2_x30_h85,30.0,85.0,65.06024185375679,-56.0602418537568,44.0,63.71320343559643,-54.71320343559643,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x30_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,9.100500432230356e-08,1.1091104442777291e-08,0.6492547971901301,0.07912699767703991,12.187356646341126,high
P2,P2_x57_h85,57.0,85.0,84.15212494579359,-75.15212494579359,44.0,82.80508652763322,-73.80508652763322,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x57_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,5.3575696685041614e-08,1.011792614727375e-08,0.3822237946649014,0.07218407534455741,18.88529085632718,high
P2,P2_x114_h85,114.0,85.0,124.4572114734268,-115.4572114734268,44.0,123.11017305526643,-114.11017305526643,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x114_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.999157020043839e-08,9.376963604045004e-09,0.2139681325538592,0.06689784422669832,31.265330695849798,very high
P2,P2_x156_h85,156.0,85.0,154.1556962832618,-145.1556962832618,44.0,152.80865786510142,-143.80865786510142,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x156_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.308580663953139e-08,1.2666736213634986e-08,0.2360432686046937,0.09036798924066346,38.28450172498014,very high
P2,P2_x176_h85,176.0,85.0,168.29783190699274,-159.29783190699274,44.0,166.95079348883237,-157.95079348883237,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x176_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/openmc_run_measurement_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.181425371984327e-08,6.477044955662963e-09,0.08428614404174806,0.04620902488160958,54.82398727212106,very high
