point_name,position,distance_cm,height_cm,neutron_flux_x_cm,neutron_flux_y_cm,neutron_flux_z_cm,neutron_flux [n/cm2/s],u_mc_neutron_flux [n/cm2/s],rel_u_mc_neutron_flux [%],neutron_flux_tally_volume_cm3,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,gamma_flux_tally_volume_cm3,gamma_flux [photon/cm2/s],u_mc_gamma_flux [photon/cm2/s],rel_u_mc_gamma_flux [%],common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,neutron_dose_per_source [pSv/source],u_mc_neutron_dose_per_source [pSv/source],neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],rel_u_mc_neutron_dose_rate [%],neutron_dose_mc_uncertainty_class,gamma_dose_per_source [pSv/source],u_mc_gamma_dose_per_source [pSv/source],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],rel_u_mc_gamma_dose_rate [%],gamma_dose_mc_uncertainty_class,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_neutron_flux [n/cm2/s],u_mc_common_neutron_flux [n/cm2/s],rel_u_mc_common_neutron_flux [%],common_gamma_flux [photon/cm2/s],u_mc_common_gamma_flux [photon/cm2/s],rel_u_mc_common_gamma_flux [%],x_cm,y_cm,z_cm,flux_centre_separation_cm,total_dose_rate [uSv/h],u_mc_total_dose_rate [uSv/h],rel_u_mc_total_dose_rate [%],total_dose_mc_uncertainty_class,neutron_dose_rate_std [uSv/h],gamma_dose_rate_std [uSv/h],total_dose_rate_std [uSv/h],neutron_dose_rel_unc [%],gamma_dose_rel_unc [%],total_dose_rel_unc [%],neutron_flux_std [n/cm2/s],gamma_flux_std [photon/cm2/s],neutron_flux_rel_unc [%],gamma_flux_rel_unc [%],common_gamma_to_neutron_flux_ratio,common_total_particle_flux [particles/cm2/s],u_mc_common_total_particle_flux [particles/cm2/s],u_mc_common_gamma_to_neutron_flux_ratio,gamma_to_neutron_dose_ratio,neutron_dose_fraction,gamma_dose_fraction,u_mc_gamma_to_neutron_dose_ratio,u_mc_neutron_dose_fraction,u_mc_gamma_dose_fraction,height_group
P1_x7_h85,P1,7.0,85.0,0.0,-51.25,44.0,64.32438165228923,2.710390699508316,4.213628844750591,8.0,0.0,-42.405,44.0,2.477979114806917,21.873392155595877,0.6605482382683933,3.0198710541538256,0.0,-51.25,44.0,0.001063142699475646,6.17797925476175e-05,41.87249181312259,2.4332329601119413,5.811053641066999,moderate,2.0079088816258454e-05,5.926786083655683e-07,0.5156991244962015,0.015221997483982664,2.951720637271469,low,0.0,-51.25,44.0,8.0,60.6625483762251,2.7376850301988895,4.512973990508853,22.749754780817202,0.5438764353857567,2.3906914189877693,0.0,-51.25,44.0,8.844999999999999,42.388190937618795,2.433280573091094,5.740468086198978,moderate,2.4332329601119413,0.015221997483982664,2.433280573091094,5.811053641066999,2.951720637271469,5.740468086198978,2.710390699508316,0.6605482382683933,4.213628844750591,3.0198710541538256,0.3750214158449911,83.4123031570423,2.7911862892940364,0.0191526707374171,0.012315940660942094,0.98783389634969,0.012166103650310005,0.0008027215995911231,0.000783308425322665,0.000783308425322665,Upper height group (85–113 cm)
P1_x57_h85,P1,57.0,85.0,0.0,-101.25,44.0,27.91029608518299,1.9336839008091,6.928209915464327,8.0,0.0,-92.405,44.0,2.477979114806917,10.993859055651246,3.120865942748857,28.387356313656014,0.0,-101.25,44.0,0.0005787255722202088,4.3555370147149956e-05,22.793442307215404,1.7154535141929355,7.526083559787273,moderate,1.2059584309693887e-05,4.55442510293223e-07,0.30973104044748867,0.011697308875210869,3.776602066848387,low,0.0,-101.25,44.0,8.0,28.047467653397952,1.760136676460289,6.27556362025806,13.037884966202018,0.4178631322919102,3.204991709737681,0.0,-101.25,44.0,8.844999999999999,23.103173347662892,1.7154933944471527,7.425358277116036,moderate,1.7154535141929355,0.011697308875210869,1.7154933944471527,7.526083559787273,3.776602066848387,7.425358277116036,1.9336839008091,3.120865942748857,6.928209915464327,28.387356313656014,0.46485069979651006,41.08535261959997,1.8090579640104067,0.03275620208299783,0.013588603084732025,0.9865935715502554,0.013406428449744587,0.0011442270048799123,0.001113752664516053,0.001113752664516053,Upper height group (85–113 cm)
P1_x114_h85,P1,114.0,85.0,0.0,-158.25,44.0,11.23013013143802,1.0673586429254232,9.504419186892786,8.0,0.0,-149.405,44.0,2.477979114806917,6.414346939354496,2.5076234047253823,39.09397836497032,0.0,-158.25,44.0,0.00021060433687132422,2.7892795700755187e-05,8.294773952548454,1.0985739357482436,13.244169666742058,high,5.8778490757986065e-06,3.250678057911467e-07,0.15096310644613123,0.00834884413244172,5.530387078660754,moderate,0.0,-158.25,44.0,8.0,10.54885948127028,1.070252413693029,10.145669449794875,5.861706793951843,0.280216879472533,4.780465644608206,0.0,-158.25,44.0,8.844999999999999,8.445737058994585,1.0986056596903795,13.007812722755569,high,1.0985739357482436,0.00834884413244172,1.0986056596903795,13.244169666742058,5.530387078660754,13.007812722755569,1.0673586429254232,2.5076234047253823,9.504419186892786,39.09397836497032,0.5556720898936445,16.410566275222124,1.1063280384032028,0.06232140822470902,0.018199785468505734,0.9821255261214464,0.01787447387855365,0.002612117584721099,0.0025195716929019563,0.0025195716929019563,Upper height group (85–113 cm)
P1_x176_h85,P1,176.0,85.0,0.0,-220.25,44.0,5.981205706735098,0.8713130578490161,14.567515323338233,8.0,0.0,-211.405,44.0,2.477979114806917,1.820897886585921,1.3525090736472465,74.2770412119662,0.0,-220.25,44.0,0.00015056042793402716,2.5693227469477746e-05,5.9299097751949565,1.0119426652687542,17.065060070589098,high,3.303352193912805e-06,2.5489073668685446e-07,0.08484129184806691,0.006546458903312752,7.7161235534179475,moderate,0.0,-220.25,44.0,8.0,6.24843385842565,0.8506554904871897,13.61389925477294,3.347165785245312,0.21578609067177384,6.446830080033189,0.0,-220.25,44.0,8.844999999999999,6.014751067043023,1.0119638402212812,16.824700290028524,high,1.0119426652687542,0.006546458903312752,1.0119638402212812,17.065060070589098,7.7161235534179475,16.824700290028524,0.8713130578490161,1.3525090736472465,14.567515323338233,74.2770412119662,0.5356807579441452,9.595599643670962,0.8775980859273841,0.08069064201718977,0.014307349532190412,0.9858944633115504,0.014105536688449627,0.0026795447977393454,0.0026044851015867053,0.0026044851015867053,Upper height group (85–113 cm)
P1_x199_h85,P1,199.0,85.0,0.0,-243.25,44.0,6.961498207212431,0.9098914699927596,13.070339787634657,8.0,0.0,-234.405,44.0,2.477979114806917,0.4533243472216018,0.4533243472216018,100.0,0.0,-243.25,44.0,9.091394308367397e-05,1.8423024667575284e-05,3.580698376001063,0.7256015113930366,20.26424555210347,high,2.415378380774853e-06,2.1843961596690785e-07,0.0620351116373393,0.005610270453020085,9.043701711730666,moderate,0.0,-243.25,44.0,8.0,5.012880688481378,0.8665991920842038,17.287448992661638,2.379435582869419,0.18415275824713825,7.739346237104851,0.0,-243.25,44.0,8.844999999999999,3.6427334876384023,0.7256232000635144,19.91974440419298,high,0.7256015113930366,0.005610270453020085,0.7256232000635144,20.26424555210347,9.043701711730666,19.91974440419298,0.9098914699927596,0.4533243472216018,13.070339787634657,100.0,0.47466431593652286,7.392316271350797,0.8859494331456077,0.08990515211869757,0.017324863790013037,0.9829701755981174,0.01702982440188258,0.0038445125383908983,0.0037146847575046603,0.0037146847575046603,Upper height group (85–113 cm)
P1_x320_h85,P1,320.0,85.0,0.0,-364.25,44.0,2.285306290801835,0.5518936565295011,24.14965813339011,8.0,0.0,-355.405,44.0,2.477979114806917,4.237576366151456,2.9917163900881265,70.59970444391513,0.0,-364.25,44.0,5.752488789074904e-05,1.484735294503477e-05,2.2656510724705043,0.5847716068070047,25.810311830998753,very high,1.2976572375609354e-06,1.5810286525867254e-07,0.0333282405108178,0.004060617986221514,12.183715443674574,high,0.0,-364.25,44.0,8.0,2.2895062320116155,0.5260060301584312,22.974649415837998,1.1757586791580188,0.1272584762319204,10.823520037551617,0.0,-364.25,44.0,8.845000000000027,2.2989793129813223,0.584785704977538,25.43675367914409,very high,0.5847716068070047,0.004060617986221514,0.584785704977538,25.810311830998753,12.183715443674574,25.43675367914409,0.5518936565295011,2.9917163900881265,24.14965813339011,70.59970444391513,0.5135424672441135,3.4652649111696343,0.541181174410107,0.13042190262992207,0.01471022652860492,0.9855030272248958,0.014496972775104118,0.0041985138841572405,0.004077664770205285,0.004077664770205285,Upper height group (85–113 cm)
P1_x420_h85,P1,420.0,85.0,0.0,-464.25,44.0,0.9969725418806012,0.362187399270251,36.32872361630468,8.0,0.0,-455.405,44.0,2.477979114806917,0.0,0.0,,0.0,-464.25,44.0,4.2953008786334494e-05,1.3807073607821375e-05,1.691729162643772,0.5437996017767183,32.14460173559273,very high,5.721660952269521e-07,1.0253291653224914e-07,0.014695166552380042,0.00263339316697021,17.920131477133232,high,0.0,-464.25,44.0,8.0,1.7761598175405027,0.4619736289982611,26.009688116802952,0.7075053772598233,0.10163600687434908,14.365404156783448,0.0,-464.25,44.0,8.845000000000027,1.706424329196152,0.5438059779480998,31.868156626920065,very high,0.5437996017767183,0.00263339316697021,0.5438059779480998,32.14460173559273,17.920131477133232,31.868156626920065,0.362187399270251,0.0,36.32872361630468,,0.3983342998039025,2.483665194800326,0.47302168214912277,0.11835749570813327,0.008686477053699883,0.991388328037199,0.00861167196280102,0.0031968200964849775,0.003141997243531237,0.003141997243531237,Upper height group (85–113 cm)
P2_x2_h55,P2,2.0,55.0,51.51561146012848,-42.51561146012848,14.0,45.26724478258421,2.2569699518690363,4.985878779919396,8.0,45.261251980533466,-36.261251980533466,14.0,2.477979114806917,1.961028248035033,1.3890100609945475,70.83070131123034,51.51561146012848,-42.51561146012848,14.0,0.000620565854627565,4.6059694865212564e-05,24.441346096071637,1.8140877956550536,7.422209024512872,moderate,1.947080448995979e-06,1.5349172451741732e-07,0.05000763192291128,0.003942188247454255,7.8831732195023605,moderate,51.51561146012848,-42.51561146012848,14.0,8.0,37.320063353145564,2.0808781536675256,5.575762650714086,3.5538851140903964,0.21844401128841448,6.146625573863673,51.51561146012848,-42.51561146012848,14.0,8.845000000000006,24.49135372799455,1.8140920790281816,7.407071488068074,moderate,1.8140877956550536,0.003942188247454255,1.8140920790281816,7.422209024512872,7.8831732195023605,7.407071488068074,2.2569699518690363,1.3890100609945475,4.985878779919396,70.83070131123034,0.09522719938766806,40.87394846723596,2.0923125188361666,0.007902717900464887,0.002046026095549165,0.9979581515796021,0.002041848420397875,0.00022153238947138004,0.00022062864195300947,0.00022062864195300947,Lower height group (42–55 cm)
P2_x57_h55,P2,57.0,55.0,90.40648442538858,-81.40648442538858,14.0,15.120832191753069,1.3663559610501972,9.036248426825413,8.0,84.15212494579359,-75.15212494579359,14.0,2.477979114806917,1.0714355293146252,0.7974841082640555,74.43136674534111,90.40648442538858,-81.40648442538858,14.0,0.0002641669499513879,2.8625879816280138e-05,10.404368533586908,1.1274468788073349,10.836283578073598,high,1.6244460366703033e-06,1.4758024036967906e-07,0.041721285590602904,0.00379036127824471,9.084958012651537,moderate,90.40648442538858,-81.40648442538858,14.0,8.0,14.666173284324161,1.2805733083778565,8.73147537228807,2.577036505760666,0.1857759068111992,7.208896978988026,90.40648442538858,-81.40648442538858,14.0,8.844999999999976,10.44608981917751,1.127453250193116,10.79306486646587,high,1.1274468788073349,0.00379036127824471,1.127453250193116,10.836283578073598,9.084958012651537,10.79306486646587,1.3663559610501972,0.7974841082640555,9.036248426825413,74.43136674534111,0.17571294541536023,17.243209790084826,1.2939786264391433,0.019895707475486087,0.004009977679656401,0.9960060380187419,0.00399396198125816,0.0005670419017706912,0.0005625214594764105,0.0005625214594764105,Lower height group (42–55 cm)
P2_x114_h55,P2,114.0,55.0,130.7115709530218,-121.7115709530218,14.0,8.010609287628503,0.94320850276027,11.774491413742409,8.0,124.4572114734268,-115.4572114734268,14.0,2.477979114806917,1.5964227475933304,0.3730176250151603,23.36584251117061,130.7115709530218,-121.7115709530218,14.0,0.00011516387269789909,1.9242037617045255e-05,4.535795918166616,0.7578588114134732,16.708397491565325,high,5.65978248952157e-07,8.442133685272858e-08,0.014536241666115031,0.0021682263524079354,14.9160037526221,high,130.7115709530218,-121.7115709530218,14.0,8.0,7.493589939053439,0.9014849039202935,12.030080525518661,0.9713144928138476,0.11434443582605458,11.772133193936465,130.7115709530218,-121.7115709530218,14.0,8.844999999999995,4.550332159832731,0.7578619130438986,16.65508992362785,high,0.7578588114134732,0.0021682263524079354,0.7578619130438986,16.708397491565325,14.9160037526221,16.65508992362785,0.94320850276027,0.3730176250151603,11.774491413742409,23.36584251117061,0.1296193814598481,8.464904431867286,0.9087076988782253,0.021817138979520822,0.003204783003550704,0.9968054548205445,0.0031945451794555104,0.0007177982189229072,0.000713219466458916,0.000713219466458916,Lower height group (42–55 cm)
