position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,tally_name,transport_group,statepoint_file,detector_model,detector_shape,tally_implementation,detector_effective_diameter_cm,detector_effective_length_cm,detector_volume_cm3,reference_offset_cm,gamma_flux_per_source [photon/cm2/source photon],u_mc_per_source [photon/cm2/source photon],gamma_flux_physical [photon/cm2/s],u_mc_physical [photon/cm2/s],rel_u_mc [%],mc_uncertainty_class,result_origin
P2,P2_x176_h55,176.0,55.0,168.29783190699274,-159.29783190699274,14.0,166.95079348883237,-157.95079348883237,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x176_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,0.0,0.0,0.0,0.0,,unknown,original gamma scan
P2,P2_x199_h55,199.0,55.0,184.56128787428332,-175.56128787428332,14.0,183.21424945612296,-174.21424945612296,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x199_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,8.74187250827586e-08,8.74187250827586e-08,0.6236692921107431,0.6236692921107431,100.0,very high,original gamma scan
P2,P2_x321_h55,321.0,55.0,270.82831517904214,-261.82831517904214,14.0,269.48127676088177,-260.48127676088177,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x321_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,4.9501217604381686e-08,4.9501217604381686e-08,0.35315533728864085,0.35315533728864085,100.0,very high,original gamma scan
P2,P2_x420_h55,420.0,55.0,340.83188651651034,-331.83188651651034,14.0,339.48484809834997,-330.48484809834997,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x420_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,0.0,0.0,0.0,0.0,,unknown,original gamma scan
P2,P2_x0_h85,0.0,85.0,43.84703841816037,-34.84703841816037,44.0,42.5,-33.5,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x0_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.662607167494835e-07,1.2367661897434374e-07,1.1861498028347022,0.8823431059347706,74.3871561438628,very high,original gamma scan
P2,P2_x5_h85,5.0,85.0,47.38257232409311,-38.38257232409311,44.0,46.03553390593274,-37.03553390593274,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x5_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,9.432596614239683e-07,3.397824058262848e-07,6.729474546328417,2.4241013846032304,36.02214954399098,very high,original gamma scan
P2,P2_x30_h85,30.0,85.0,65.06024185375679,-56.0602418537568,44.0,63.71320343559643,-54.71320343559643,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x30_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.0724084853201449e-07,1.1959111898940024e-07,1.4785133640193393,0.8531960223881278,57.70634497808758,very high,original gamma scan
P2,P2_x57_h85,57.0,85.0,84.15212494579359,-75.15212494579359,44.0,82.80508652763322,-73.80508652763322,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x57_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,8.00117112983371e-08,8.00117112983371e-08,0.5708256131482393,0.5708256131482393,100.0,very high,original gamma scan
P2,P2_x114_h85,114.0,85.0,124.4572114734268,-115.4572114734268,44.0,123.11017305526643,-114.11017305526643,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x114_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,0.0,0.0,0.0,0.0,,unknown,original gamma scan
P2,P2_x156_h85,156.0,85.0,154.1556962832618,-145.1556962832618,44.0,152.80865786510142,-143.80865786510142,44.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x156_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.7249698709829173e-07,2.7249698709829173e-07,1.9440686521682111,1.9440686521682111,100.0,very high,original gamma scan
