position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,detector_volume_cm3
P3,P3_x100_h85,100.0,85.0,144.405,0.0,44.0,142.5,0.0,44.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x114_h45,114.0,45.0,158.405,0.0,4.0,156.5,0.0,4.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x114_h85,114.0,85.0,158.405,0.0,44.0,156.5,0.0,44.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x176_h45,176.0,45.0,220.405,0.0,4.0,218.5,0.0,4.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x176_h85,176.0,85.0,220.405,0.0,44.0,218.5,0.0,44.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x199_h45,199.0,45.0,243.405,0.0,4.0,241.5,0.0,4.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x200_h85,200.0,85.0,244.405,0.0,44.0,242.5,0.0,44.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x225_h45,225.0,45.0,269.405,0.0,4.0,267.5,0.0,4.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x225_h85,225.0,85.0,269.405,0.0,44.0,267.5,0.0,44.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x300_h45,300.0,45.0,344.405,0.0,4.0,342.5,0.0,4.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x300_h85,300.0,85.0,344.405,0.0,44.0,342.5,0.0,44.0,1.0,0.0,0.0,2.477979114806917
P3,P3_x400_h85,400.0,85.0,444.405,0.0,44.0,442.5,0.0,44.0,1.0,0.0,0.0,2.477979114806917
P4,P4_x0_h42,0.0,42.0,43.84703841816037,34.84703841816037,1.0,42.5,33.5,1.0,0.7071067811865476,0.7071067811865476,0.0,2.477979114806917
P4,P4_x20_h42,20.0,42.0,57.989174041891324,48.989174041891324,1.0,56.64213562373095,47.64213562373095,1.0,0.7071067811865476,0.7071067811865476,0.0,2.477979114806917
P4,P4_x71_h42,71.0,42.0,94.05161988240525,85.05161988240525,1.0,92.70458146424488,83.70458146424488,1.0,0.7071067811865476,0.7071067811865476,0.0,2.477979114806917
P4,P4_x85_h45,85.0,45.0,103.95111481901691,94.95111481901691,4.0,102.60407640085654,93.60407640085654,4.0,0.7071067811865476,0.7071067811865476,0.0,2.477979114806917
P4,P4_x152_h113,152.0,113.0,151.3272691585156,142.3272691585156,72.0,149.98023074035524,140.98023074035524,72.0,0.7071067811865476,0.7071067811865476,0.0,2.477979114806917
P5,P5_x0_h45,0.0,45.0,0.0,35.405,4.0,0.0,33.5,4.0,0.0,1.0,0.0,2.477979114806917
P5,P5_x0_h85,0.0,85.0,0.0,35.405,44.0,0.0,33.5,44.0,0.0,1.0,0.0,2.477979114806917
P5,P5_x6_h45,6.0,45.0,0.0,41.405,4.0,0.0,39.5,4.0,0.0,1.0,0.0,2.477979114806917
P5,P5_x6_h85,6.0,85.0,0.0,41.405,44.0,0.0,39.5,44.0,0.0,1.0,0.0,2.477979114806917
