measurement_kind,position,distance_cm,height_cm,location_label,physical_point_id,duration_min,is_24h_measurement,replicate_label,is_short_measurement,is_long_measurement,file,file_name,input_format,source_column,original_rows,valid_rows,invalid_rows,valid_fraction,raw_numeric_mismatch_count,observed_duration_s,start_timestamp,end_timestamp,mean_mrem_h,median_mrem_h,std_mrem_h,sem_mrem_h,min_mrem_h,max_mrem_h,mean_uSv_h,median_uSv_h,std_uSv_h,sem_uSv_h,file_quality_status
scan,P1,199.0,85.0,,P1_x199_h85,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_199_y_85_10_min.csv,NF_P1_x_199_y_85_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.1610000000001,2026-03-18 12:48:27.887,2026-03-18 12:58:27.080,0.63,0.0,0.8026042752842197,0.03276618233037704,0.0,4.0,6.3,0.0,8.026042752842198,0.3276618233037704,valid
scan,P1,320.0,85.0,,P1_x320_h85,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_320_y_85_10_min.csv,NF_P1_x_320_y_85_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.1229999999999,2026-03-18 13:03:58.403,2026-03-18 13:13:58.574,0.24792013311148087,0.0,0.48999983021491844,0.01998750997729817,0.0,3.0,2.4792013311148087,0.0,4.899998302149184,0.1998750997729817,valid
scan,P1,420.0,85.0,,P1_x420_h85,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_420_y_85_10_min.csv,NF_P1_x_420_y_85_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.139,2026-03-18 13:17:46.752,2026-03-18 13:27:46.931,0.15640599001663893,0.0,0.40269474985907117,0.01642626146846514,0.0,2.0,1.5640599001663893,0.0,4.026947498590712,0.1642626146846514,valid
scan,P1,420.0,85.0,,P1_x420_h85,10.0,False,2,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_420_y_85_10_min_2.csv,NF_P1_x_420_y_85_10_min_2.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.1349999999999,2026-03-18 13:31:30.112,2026-03-18 13:41:30.285,0.1264559068219634,0.0,0.3521111355844221,0.014362912804530096,0.0,2.0,1.264559068219634,0.0,3.521111355844221,0.14362912804530095,valid
scan,P2,2.0,55.0,,P2_x2_h55,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_2_y_55_10_min_LONG_mrem.csv,NF_P2_x_2_y_55_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.059,2026-02-23 11:05:49.850,2026-02-23 11:15:49.018,4.276666666666666,4.0,2.49141207198038,0.10171147192270209,0.0,19.0,42.766666666666666,40.0,24.914120719803797,1.017114719227021,valid
scan,P2,57.0,55.0,,P2_x57_h55,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_57_y_55_10_min_LONG_mrem.csv,NF_P2_x_57_y_55_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.0889999999999,2026-02-23 11:22:54.255,2026-02-23 11:32:54.430,2.574043261231281,2.0,1.712189180978165,0.06984165346100793,0.0,8.0,25.740432612312812,20.0,17.12189180978165,0.6984165346100792,valid
scan,P2,114.0,55.0,,P2_x114_h55,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_114_y_55_10_min_LONG_mrem.csv,NF_P2_x_114_y_55_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.137,2026-02-23 15:43:10.723,2026-02-23 15:53:09.893,1.4066666666666667,1.0,1.1120626606255084,0.04539976800890589,0.0,6.0,14.066666666666666,10.0,11.120626606255083,0.4539976800890589,valid
scan,P2,176.0,55.0,,P2_x176_h55,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_176_y_55_10_min_LONG__mrem.csv,NF_P2_x_176_y_55_10_min_LONG__mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.1399999999999,2026-02-23 15:59:20.125,2026-02-23 16:09:20.301,0.9417637271214643,1.0,0.9582638210580382,0.03908839657328164,0.0,5.0,9.417637271214643,10.0,9.582638210580383,0.3908839657328164,valid
scan,P2,199.0,55.0,,P2_x199_h55,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_199_y_55_10_min_LONG_mrem.csv,NF_P2_x_199_y_55_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.121,2026-02-23 17:12:26.557,2026-02-23 17:22:26.745,0.800332778702163,1.0,0.9018868493740032,0.036788731931499494,0.0,4.0,8.00332778702163,10.0,9.018868493740031,0.36788731931499496,valid
scan,P2,321.0,55.0,,P2_x321_h55,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_321_y_55_10_min_LONG_mrem.csv,NF_P2_x_321_y_55_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.0699999999999,2026-02-23 17:36:34.115,2026-02-23 17:46:34.286,0.40099833610648916,0.0,0.6302901461474392,0.025710071326329017,0.0,3.0,4.009983361064892,0.0,6.3029014614743915,0.25710071326329015,valid
scan,P2,420.0,55.0,,P2_x420_h55,10.0,False,,False,True,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P2/NF_P2_x_420_y_55_10_min_LONG_mrem.csv,NF_P2_x_420_y_55_10_min_LONG_mrem.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.076,2026-02-23 18:08:58.801,2026-02-23 18:18:57.976,0.27166666666666667,0.0,0.5275677856949386,0.021537864661376433,0.0,4.0,2.716666666666667,0.0,5.275677856949386,0.21537864661376432,valid
