output_type,filename,path,rows,status
figure,measured_neutron_dose_rate_upper_height_linear.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_upper_height_linear.pdf,,exported
figure,measured_neutron_dose_rate_upper_height.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_upper_height.png,,exported
figure,measured_neutron_dose_rate_upper_height.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_upper_height.pdf,,exported
figure,normalized_attenuation_lower_height_linear.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/normalized_attenuation_lower_height_linear.png,,exported
figure,normalized_attenuation_lower_height_linear.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/normalized_attenuation_lower_height_linear.pdf,,exported
figure,normalized_attenuation_lower_height.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/normalized_attenuation_lower_height.png,,exported
figure,normalized_attenuation_lower_height.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/normalized_attenuation_lower_height.pdf,,exported
figure,normalized_attenuation_upper_height_linear.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/normalized_attenuation_upper_height_linear.png,,exported
figure,normalized_attenuation_upper_height_linear.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/normalized_attenuation_upper_height_linear.pdf,,exported
figure,normalized_attenuation_upper_height.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/normalized_attenuation_upper_height.png,,exported
figure,normalized_attenuation_upper_height.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/normalized_attenuation_upper_height.pdf,,exported
